year,name,harvested area [ha],yield [kg/ha]
2019,buenos aires pellegrini,14400,2499
2020,buenos aires pellegrini,17200,3000
2021,buenos aires pellegrini,16200,3494
1969,buenos aires pergamino,37700,1500
1970,buenos aires pergamino,26720,2275
1971,buenos aires pergamino,29300,1599
1972,buenos aires pergamino,35200,2259
1973,buenos aires pergamino,15000,1400
1974,buenos aires pergamino,16000,2100
1975,buenos aires pergamino,19000,1937
1976,buenos aires pergamino,28000,1700
1977,buenos aires pergamino,21400,1879
1978,buenos aires pergamino,22300,2200
1979,buenos aires pergamino,25700,2471
1980,buenos aires pergamino,51800,2838
1981,buenos aires pergamino,63000,2063
1982,buenos aires pergamino,56000,2929
1983,buenos aires pergamino,68000,1800
1984,buenos aires pergamino,76000,2400
1985,buenos aires pergamino,80000,1750
1986,buenos aires pergamino,71200,2215
1987,buenos aires pergamino,73000,2106
1988,buenos aires pergamino,65700,2283
1989,buenos aires pergamino,46000,2800
1990,buenos aires pergamino,64900,2350
1991,buenos aires pergamino,32800,2101
1992,buenos aires pergamino,35500,2701
1993,buenos aires pergamino,47000,1800
1994,buenos aires pergamino,37000,2800
1995,buenos aires pergamino,44800,2799
1996,buenos aires pergamino,68800,3400
1997,buenos aires pergamino,41000,2600
1998,buenos aires pergamino,32600,2914
1999,buenos aires pergamino,38000,3368
2000,buenos aires pergamino,29000,2500
2001,buenos aires pergamino,35000,2286
2002,buenos aires pergamino,22700,2200
2003,buenos aires pergamino,21400,3200
2004,buenos aires pergamino,22000,3400
2005,buenos aires pergamino,21500,3700
2006,buenos aires pergamino,24550,4000
2007,buenos aires pergamino,24800,4600
2008,buenos aires pergamino,20800,2400
2009,buenos aires pergamino,11750,5396
2010,buenos aires pergamino,10900,4957
2011,buenos aires pergamino,11700,4900
2012,buenos aires pergamino,8640,3100
2013,buenos aires pergamino,9100,4500
2014,buenos aires pergamino,10360,3900
2015,buenos aires pergamino,24615,4200
2016,buenos aires pergamino,35780,4800
2017,buenos aires pergamino,34823,4600
2018,buenos aires pergamino,45646,5000
2019,buenos aires pergamino,42158,4300
2020,buenos aires pergamino,44800,4200
2021,buenos aires pergamino,46744,5200
1969,buenos aires puan,242000,1288
1970,buenos aires puan,81000,494
1971,buenos aires puan,180000,950
1972,buenos aires puan,189000,1362
1973,buenos aires puan,171000,1345
1974,buenos aires puan,136000,1000
1975,buenos aires puan,180000,1000
1976,buenos aires puan,215000,1546
1977,buenos aires puan,125000,1200
1978,buenos aires puan,177000,1730
1979,buenos aires puan,124000,1100
1980,buenos aires puan,148000,1174
1981,buenos aires puan,160000,523
1982,buenos aires puan,253000,1700
1983,buenos aires puan,231200,1600
1984,buenos aires puan,215000,2202
1985,buenos aires puan,160000,1800
1986,buenos aires puan,152500,1372
1987,buenos aires puan,150000,1628
1988,buenos aires puan,120000,1300
1989,buenos aires puan,148000,1900
1990,buenos aires puan,140000,1400
1991,buenos aires puan,125000,1800
1992,buenos aires puan,95200,1601
1993,buenos aires puan,115200,1700
1994,buenos aires puan,125300,1400
1995,buenos aires puan,90300,1050
1996,buenos aires puan,137500,1400
1997,buenos aires puan,116500,2500
1998,buenos aires puan,121300,1814
1999,buenos aires puan,106300,1021
2000,buenos aires puan,127000,2402
2001,buenos aires puan,138400,2312
2002,buenos aires puan,139400,2312
2003,buenos aires puan,111300,1500
2004,buenos aires puan,121300,2201
2005,buenos aires puan,90900,800
2006,buenos aires puan,96000,1098
2007,buenos aires puan,81200,2000
2008,buenos aires puan,61700,800
2009,buenos aires puan,28460,806
2010,buenos aires puan,61000,1959
2011,buenos aires puan,86000,2497
2012,buenos aires puan,32000,2984
2013,buenos aires puan,61000,2200
2014,buenos aires puan,91000,2602
2015,buenos aires puan,45620,3187
2016,buenos aires puan,46650,2800
2017,buenos aires puan,61360,3000
2018,buenos aires puan,54325,2597
2019,buenos aires puan,48900,1896
2020,buenos aires puan,55000,2018
2021,buenos aires puan,53864,1800
1969,buenos aires ramallo,15500,1500
1970,buenos aires ramallo,9900,2222
1971,buenos aires ramallo,9400,1500
1972,buenos aires ramallo,11250,2098
1973,buenos aires ramallo,5900,1508
1974,buenos aires ramallo,6500,2000
1975,buenos aires ramallo,10000,2000
1976,buenos aires ramallo,10000,1600
1977,buenos aires ramallo,9300,1785
1978,buenos aires ramallo,10000,2000
1979,buenos aires ramallo,17700,2034
1980,buenos aires ramallo,28000,2286
1981,buenos aires ramallo,30000,2100
1982,buenos aires ramallo,30000,2800
1983,buenos aires ramallo,21000,1400
1984,buenos aires ramallo,24000,2500
1985,buenos aires ramallo,22800,1600
1986,buenos aires ramallo,20400,1897
1987,buenos aires ramallo,18000,1900
1988,buenos aires ramallo,9500,1263
1989,buenos aires ramallo,6000,2450
1990,buenos aires ramallo,8600,2256
1991,buenos aires ramallo,4300,2093
1992,buenos aires ramallo,4500,2600
1993,buenos aires ramallo,7550,1748
1994,buenos aires ramallo,6300,2048
1995,buenos aires ramallo,8500,2506
1996,buenos aires ramallo,19000,1900
1997,buenos aires ramallo,9500,2747
1998,buenos aires ramallo,7400,2703
1999,buenos aires ramallo,8500,2847
2000,buenos aires ramallo,9000,2300
2001,buenos aires ramallo,11000,2000
2002,buenos aires ramallo,6600,1600
2003,buenos aires ramallo,5350,2901
2004,buenos aires ramallo,5300,3000
2005,buenos aires ramallo,5300,3500
2006,buenos aires ramallo,7900,3700
2007,buenos aires ramallo,8300,4100
2008,buenos aires ramallo,5850,2200
2009,buenos aires ramallo,3470,4394
2010,buenos aires ramallo,3300,4234
2011,buenos aires ramallo,3700,4500
2012,buenos aires ramallo,2970,2800
2013,buenos aires ramallo,3250,4100
2014,buenos aires ramallo,3790,3553
2015,buenos aires ramallo,3800,3947
2016,buenos aires ramallo,13920,4500
2017,buenos aires ramallo,13970,4400
2018,buenos aires ramallo,22079,4500
2019,buenos aires ramallo,15200,4000
2020,buenos aires ramallo,14500,3900
2021,buenos aires ramallo,19446,4800
1969,buenos aires rauch,3800,1500
1970,buenos aires rauch,3800,1684
1971,buenos aires rauch,4000,1200
1972,buenos aires rauch,1800,1000
1973,buenos aires rauch,2375,1600
1974,buenos aires rauch,2890,1592
1975,buenos aires rauch,3900,1400
1976,buenos aires rauch,4500,1300
1977,buenos aires rauch,2500,1100
1978,buenos aires rauch,2000,1200
1979,buenos aires rauch,4000,1018
1980,buenos aires rauch,370,1568
1981,buenos aires rauch,1600,1250
1982,buenos aires rauch,3000,1200
1983,buenos aires rauch,3000,1700
1984,buenos aires rauch,1500,3000
1985,buenos aires rauch,2000,900
1986,buenos aires rauch,3200,1719
1987,buenos aires rauch,2000,1350
1988,buenos aires rauch,2000,1800
1989,buenos aires rauch,2700,1400
1990,buenos aires rauch,5400,1907
1991,buenos aires rauch,5700,1702
1992,buenos aires rauch,5700,1895
1993,buenos aires rauch,6900,1899
1994,buenos aires rauch,7400,2297
1995,buenos aires rauch,6400,2203
1996,buenos aires rauch,11750,2902
1997,buenos aires rauch,11600,3103
1998,buenos aires rauch,9100,2747
1999,buenos aires rauch,11600,2802
2000,buenos aires rauch,12700,3000
2001,buenos aires rauch,10800,2704
2002,buenos aires rauch,8200,2000
2003,buenos aires rauch,6850,3701
2004,buenos aires rauch,6850,3501
2005,buenos aires rauch,6240,3800
2006,buenos aires rauch,5900,3900
2007,buenos aires rauch,5000,2800
2008,buenos aires rauch,5050,3101
2009,buenos aires rauch,4070,4167
2010,buenos aires rauch,4950,4905
2011,buenos aires rauch,4160,4900
2012,buenos aires rauch,209,3900
2013,buenos aires rauch,3600,5000
2014,buenos aires rauch,2400,3600
2015,buenos aires rauch,2900,3800
2016,buenos aires rauch,3500,3100
2017,buenos aires rauch,2305,3200
2018,buenos aires rauch,2250,4000
2019,buenos aires rauch,3800,4000
2020,buenos aires rauch,3000,4300
2021,buenos aires rauch,2500,4200
1969,buenos aires rivadavia,45000,1500
1970,buenos aires rivadavia,14000,1107
1971,buenos aires rivadavia,17000,1100
1972,buenos aires rivadavia,19000,1789
1973,buenos aires rivadavia,18400,1957
1974,buenos aires rivadavia,26000,1700
1975,buenos aires rivadavia,34000,1700
1976,buenos aires rivadavia,44000,1701
1977,buenos aires rivadavia,19200,938
1978,buenos aires rivadavia,29000,1710
1979,buenos aires rivadavia,27800,2000
1980,buenos aires rivadavia,26000,1308
1981,buenos aires rivadavia,38000,1589
1982,buenos aires rivadavia,50300,2187
1983,buenos aires rivadavia,40700,2000
1984,buenos aires rivadavia,29600,2500
1985,buenos aires rivadavia,26400,1500
1986,buenos aires rivadavia,26100,2100
1987,buenos aires rivadavia,27300,1718
1988,buenos aires rivadavia,29100,2234
1989,buenos aires rivadavia,40000,1700
1990,buenos aires rivadavia,32500,2302
1991,buenos aires rivadavia,21200,2099
1992,buenos aires rivadavia,22500,1902
1993,buenos aires rivadavia,27300,2502
1994,buenos aires rivadavia,23200,3000
1995,buenos aires rivadavia,28500,2151
1996,buenos aires rivadavia,48500,2151
1997,buenos aires rivadavia,29000,2800
1998,buenos aires rivadavia,18000,2667
1999,buenos aires rivadavia,24650,2779
2000,buenos aires rivadavia,14500,2800
2001,buenos aires rivadavia,11960,2600
2002,buenos aires rivadavia,16500,2700
2003,buenos aires rivadavia,13320,3300
2004,buenos aires rivadavia,13586,3300
2005,buenos aires rivadavia,9800,3700
2006,buenos aires rivadavia,17050,3800
2007,buenos aires rivadavia,41300,3902
2008,buenos aires rivadavia,40200,2307
2009,buenos aires rivadavia,19400,2154
2010,buenos aires rivadavia,23800,4023
2011,buenos aires rivadavia,34100,3305
2012,buenos aires rivadavia,13300,2127
2013,buenos aires rivadavia,9000,3411
2014,buenos aires rivadavia,28330,3309
2015,buenos aires rivadavia,6980,3000
2016,buenos aires rivadavia,28130,5000
2017,buenos aires rivadavia,5100,4700
2018,buenos aires rivadavia,22987,5700
2019,buenos aires rivadavia,38250,2700
2020,buenos aires rivadavia,35270,4400
2021,buenos aires rivadavia,55032,4800
1969,buenos aires rojas,21800,1500
1970,buenos aires rojas,18000,1856
1971,buenos aires rojas,17000,1400
1972,buenos aires rojas,17000,2100
1973,buenos aires rojas,16000,1406
1974,buenos aires rojas,20000,1900
1975,buenos aires rojas,24000,1900
1976,buenos aires rojas,24000,1700
1977,buenos aires rojas,18800,1755
1978,buenos aires rojas,16400,2400
1979,buenos aires rojas,20000,2400
1980,buenos aires rojas,34000,2588
1981,buenos aires rojas,49000,1837
1982,buenos aires rojas,53000,2830
1983,buenos aires rojas,39500,1500
1984,buenos aires rojas,43000,2300
1985,buenos aires rojas,43250,1526
1986,buenos aires rojas,39600,2553
1987,buenos aires rojas,40000,2081
1988,buenos aires rojas,39000,2308
1989,buenos aires rojas,39000,2700
1990,buenos aires rojas,31500,2400
1991,buenos aires rojas,18350,2000
1992,buenos aires rojas,32600,3049
1993,buenos aires rojas,35500,2000
1994,buenos aires rojas,36000,2800
1995,buenos aires rojas,40000,3200
1996,buenos aires rojas,50000,3300
1997,buenos aires rojas,43600,3101
1998,buenos aires rojas,38000,3105
1999,buenos aires rojas,45500,3231
2000,buenos aires rojas,38000,3211
2001,buenos aires rojas,34000,2206
2002,buenos aires rojas,19500,2500
2003,buenos aires rojas,19500,3500
2004,buenos aires rojas,24000,4000
2005,buenos aires rojas,24000,4000
2006,buenos aires rojas,27000,4300
2007,buenos aires rojas,27000,4500
2008,buenos aires rojas,21000,3000
2009,buenos aires rojas,21660,4472
2010,buenos aires rojas,21500,5370
2011,buenos aires rojas,20000,5200
2012,buenos aires rojas,13750,3700
2013,buenos aires rojas,15000,4200
2014,buenos aires rojas,15000,4200
2015,buenos aires rojas,16910,5000
2016,buenos aires rojas,29840,5000
2017,buenos aires rojas,26940,5200
2018,buenos aires rojas,32000,5000
2019,buenos aires rojas,29750,4400
2020,buenos aires rojas,42000,3800
2021,buenos aires rojas,44000,4400
1969,buenos aires roque perez,7500,1600
1970,buenos aires roque perez,7000,1657
1971,buenos aires roque perez,5000,1500
1972,buenos aires roque perez,6500,1400
1973,buenos aires roque perez,1000,1100
1974,buenos aires roque perez,4000,1500
1975,buenos aires roque perez,2500,1600
1976,buenos aires roque perez,3500,1500
1977,buenos aires roque perez,2500,1220
1978,buenos aires roque perez,3000,1200
1979,buenos aires roque perez,4000,1000
1980,buenos aires roque perez,500,1400
1981,buenos aires roque perez,14000,1429
1982,buenos aires roque perez,8000,1300
1983,buenos aires roque perez,6000,1800
1984,buenos aires roque perez,10000,2400
1985,buenos aires roque perez,1700,1200
1986,buenos aires roque perez,2000,1400
1987,buenos aires roque perez,900,1611
1988,buenos aires roque perez,900,2222
1989,buenos aires roque perez,4000,1800
1990,buenos aires roque perez,4800,2208
1991,buenos aires roque perez,3000,2200
1992,buenos aires roque perez,2400,2208
1993,buenos aires roque perez,2500,2000
1994,buenos aires roque perez,6000,3000
1995,buenos aires roque perez,6000,2500
1996,buenos aires roque perez,9000,3700
1997,buenos aires roque perez,6300,3000
1998,buenos aires roque perez,6400,3500
1999,buenos aires roque perez,8500,3176
2000,buenos aires roque perez,7100,2803
2001,buenos aires roque perez,3420,1813
2002,buenos aires roque perez,3720,2099
2003,buenos aires roque perez,4396,3701
2004,buenos aires roque perez,5250,4200
2005,buenos aires roque perez,6500,4400
2006,buenos aires roque perez,9500,4500
2007,buenos aires roque perez,9400,3500
2008,buenos aires roque perez,11000,3500
2009,buenos aires roque perez,10220,4099
2010,buenos aires roque perez,13000,4234
2011,buenos aires roque perez,14000,4500
2012,buenos aires roque perez,9000,2800
2013,buenos aires roque perez,7800,3800
2014,buenos aires roque perez,3320,3807
2015,buenos aires roque perez,1650,2903
2016,buenos aires roque perez,5380,3700
2017,buenos aires roque perez,4445,3800
2018,buenos aires roque perez,4534,3330
2019,buenos aires roque perez,5076,3180
2020,buenos aires roque perez,11150,3800
2021,buenos aires roque perez,11400,3900
1969,buenos aires saavedra,110000,1700
1970,buenos aires saavedra,69000,580
1971,buenos aires saavedra,73000,1110
1972,buenos aires saavedra,95000,1897
1973,buenos aires saavedra,89000,1697
1974,buenos aires saavedra,101000,1230
1975,buenos aires saavedra,100000,1020
1976,buenos aires saavedra,107000,1689
1977,buenos aires saavedra,66100,1210
1978,buenos aires saavedra,85000,1718
1979,buenos aires saavedra,91000,1401
1980,buenos aires saavedra,84000,1360
1981,buenos aires saavedra,90000,889
1982,buenos aires saavedra,137000,1898
1983,buenos aires saavedra,128700,1647
1984,buenos aires saavedra,131200,2477
1985,buenos aires saavedra,100000,1800
1986,buenos aires saavedra,96600,1900
1987,buenos aires saavedra,95000,1809
1988,buenos aires saavedra,78000,1282
1989,buenos aires saavedra,99000,2000
1990,buenos aires saavedra,120000,1800
1991,buenos aires saavedra,100000,2000
1992,buenos aires saavedra,95200,1601
1993,buenos aires saavedra,95200,1900
1994,buenos aires saavedra,105200,1700
1995,buenos aires saavedra,90100,1200
1996,buenos aires saavedra,103700,1500
1997,buenos aires saavedra,95300,2800
1998,buenos aires saavedra,90300,1905
1999,buenos aires saavedra,75300,1222
2000,buenos aires saavedra,96000,2500
2001,buenos aires saavedra,109600,2418
2002,buenos aires saavedra,104200,2211
2003,buenos aires saavedra,85800,1700
2004,buenos aires saavedra,90800,2201
2005,buenos aires saavedra,72450,1000
2006,buenos aires saavedra,77700,1498
2007,buenos aires saavedra,75300,2200
2008,buenos aires saavedra,55900,1200
2009,buenos aires saavedra,31110,1037
2010,buenos aires saavedra,52960,2526
2011,buenos aires saavedra,76000,2795
2012,buenos aires saavedra,33930,3491
2013,buenos aires saavedra,61000,2305
2014,buenos aires saavedra,76000,2603
2015,buenos aires saavedra,33950,3000
2016,buenos aires saavedra,43320,2800
2017,buenos aires saavedra,46490,3100
2018,buenos aires saavedra,42100,2600
2019,buenos aires saavedra,40300,1796
2020,buenos aires saavedra,49000,2192
2021,buenos aires saavedra,47864,2188
1969,buenos aires saladillo,18000,1700
1970,buenos aires saladillo,16700,1617
1971,buenos aires saladillo,13000,1000
1972,buenos aires saladillo,19000,1595
1973,buenos aires saladillo,3000,1500
1974,buenos aires saladillo,17000,1500
1975,buenos aires saladillo,3000,1300
1976,buenos aires saladillo,14400,1500
1977,buenos aires saladillo,9700,1134
1978,buenos aires saladillo,6000,1300
1979,buenos aires saladillo,14000,1000
1980,buenos aires saladillo,500,1400
1981,buenos aires saladillo,22000,1591
1982,buenos aires saladillo,12000,1300
1983,buenos aires saladillo,10000,1800
1984,buenos aires saladillo,12000,1900
1985,buenos aires saladillo,5000,1100
1986,buenos aires saladillo,7800,1372
1987,buenos aires saladillo,5800,1621
1988,buenos aires saladillo,6000,2250
1989,buenos aires saladillo,8500,1800
1990,buenos aires saladillo,10200,2098
1991,buenos aires saladillo,5600,2196
1992,buenos aires saladillo,4500,2200
1993,buenos aires saladillo,3500,2000
1994,buenos aires saladillo,12000,3000
1995,buenos aires saladillo,13500,2600
1996,buenos aires saladillo,17000,3700
1997,buenos aires saladillo,11900,3000
1998,buenos aires saladillo,11100,3514
1999,buenos aires saladillo,13500,3259
2000,buenos aires saladillo,11000,2900
2001,buenos aires saladillo,5300,1698
2002,buenos aires saladillo,4860,1899
2003,buenos aires saladillo,5530,3700
2004,buenos aires saladillo,6800,4000
2005,buenos aires saladillo,8100,4400
2006,buenos aires saladillo,12000,4500
2007,buenos aires saladillo,13100,3500
2008,buenos aires saladillo,14000,3400
2009,buenos aires saladillo,11240,4928
2010,buenos aires saladillo,16000,4441
2011,buenos aires saladillo,18000,4600
2012,buenos aires saladillo,9670,2800
2013,buenos aires saladillo,8900,3900
2014,buenos aires saladillo,5400,3800
2015,buenos aires saladillo,9500,3000
2016,buenos aires saladillo,6640,3700
2017,buenos aires saladillo,3445,3800
2018,buenos aires saladillo,13302,3530
2019,buenos aires saladillo,5435,3530
2020,buenos aires saladillo,14400,3900
2021,buenos aires saladillo,11953,4000
1969,buenos aires salliquelo,9000,1200
1970,buenos aires salliquelo,7000,643
1971,buenos aires salliquelo,14000,1300
1972,buenos aires salliquelo,8600,1907
1973,buenos aires salliquelo,14500,1800
1974,buenos aires salliquelo,15000,1600
1975,buenos aires salliquelo,14000,1550
1976,buenos aires salliquelo,19500,1564
1977,buenos aires salliquelo,13600,1279
1978,buenos aires salliquelo,19000,1800
1979,buenos aires salliquelo,17800,1798
1980,buenos aires salliquelo,20000,850
1981,buenos aires salliquelo,27000,1481
1982,buenos aires salliquelo,35700,2000
1983,buenos aires salliquelo,27700,1700
1984,buenos aires salliquelo,26200,2302
1985,buenos aires salliquelo,23000,1500
1986,buenos aires salliquelo,16300,1687
1987,buenos aires salliquelo,18000,1811
1988,buenos aires salliquelo,14000,1286
1989,buenos aires salliquelo,19700,2100
1990,buenos aires salliquelo,19000,1900
1991,buenos aires salliquelo,17000,2000
1992,buenos aires salliquelo,3600,1111
1993,buenos aires salliquelo,12500,2152
1994,buenos aires salliquelo,24000,2246
1995,buenos aires salliquelo,7300,1603
1996,buenos aires salliquelo,18000,2250
1997,buenos aires salliquelo,14000,2600
1998,buenos aires salliquelo,10000,2100
1999,buenos aires salliquelo,14000,1400
2000,buenos aires salliquelo,11000,3045
2001,buenos aires salliquelo,6000,1667
2002,buenos aires salliquelo,14000,2200
2003,buenos aires salliquelo,7000,1900
2004,buenos aires salliquelo,6000,2500
2005,buenos aires salliquelo,2800,2100
2006,buenos aires salliquelo,2810,2267
2007,buenos aires salliquelo,4300,2765
2008,buenos aires salliquelo,5000,2282
2009,buenos aires salliquelo,3980,1665
2010,buenos aires salliquelo,6700,2883
2011,buenos aires salliquelo,5700,2793
2012,buenos aires salliquelo,4520,2996
2013,buenos aires salliquelo,4200,2495
2014,buenos aires salliquelo,7200,2694
2015,buenos aires salliquelo,4000,2698
2016,buenos aires salliquelo,4680,3481
2017,buenos aires salliquelo,1850,2305
2018,buenos aires salliquelo,3600,3486
2019,buenos aires salliquelo,3800,2497
2020,buenos aires salliquelo,6100,2997
2021,buenos aires salliquelo,6100,3493
1969,buenos aires salto,14850,808
1970,buenos aires salto,8900,2247
1971,buenos aires salto,8500,1500
1972,buenos aires salto,8800,2159
1973,buenos aires salto,4500,1400
1974,buenos aires salto,5000,2100
1975,buenos aires salto,9500,2200
1976,buenos aires salto,12000,1600
1977,buenos aires salto,9400,1649
1978,buenos aires salto,8800,2150
1979,buenos aires salto,12400,2500
1980,buenos aires salto,36000,2861
1981,buenos aires salto,46000,2174
1982,buenos aires salto,48000,3123
1983,buenos aires salto,49000,2000
1984,buenos aires salto,49000,2200
1985,buenos aires salto,57000,1447
1986,buenos aires salto,50300,2581
1987,buenos aires salto,49500,2111
1988,buenos aires salto,43000,2209
1989,buenos aires salto,30100,2600
1990,buenos aires salto,34700,2501
1991,buenos aires salto,15800,2152
1992,buenos aires salto,18000,2700
1993,buenos aires salto,21300,1798
1994,buenos aires salto,21500,2902
1995,buenos aires salto,24800,2649
1996,buenos aires salto,39000,3500
1997,buenos aires salto,29000,2700
1998,buenos aires salto,23500,2851
1999,buenos aires salto,25500,3263
2000,buenos aires salto,21000,2600
2001,buenos aires salto,26000,2423
2002,buenos aires salto,19680,2300
2003,buenos aires salto,16100,3400
2004,buenos aires salto,16700,3400
2005,buenos aires salto,17000,3800
2006,buenos aires salto,20000,4100
2007,buenos aires salto,20650,4500
2008,buenos aires salto,17500,2400
2009,buenos aires salto,9960,5396
2010,buenos aires salto,9500,4751
2011,buenos aires salto,10100,4900
2012,buenos aires salto,7700,3200
2013,buenos aires salto,8100,4600
2014,buenos aires salto,9700,3800
2015,buenos aires salto,16080,4400
2016,buenos aires salto,23000,4700
2017,buenos aires salto,30530,4600
2018,buenos aires salto,32705,4900
2019,buenos aires salto,33718,4300
2020,buenos aires salto,35100,4200
2021,buenos aires salto,31901,5200
1969,buenos aires san andres de giles,2720,1650
1970,buenos aires san andres de giles,2450,1959
1971,buenos aires san andres de giles,2800,2000
1972,buenos aires san andres de giles,3800,2000
1973,buenos aires san andres de giles,2000,1500
1974,buenos aires san andres de giles,1700,1765
1975,buenos aires san andres de giles,3000,1900
1976,buenos aires san andres de giles,1900,2000
1977,buenos aires san andres de giles,1700,1882
1978,buenos aires san andres de giles,1900,1900
1979,buenos aires san andres de giles,2400,1958
1980,buenos aires san andres de giles,6600,2121
1981,buenos aires san andres de giles,4500,1900
1982,buenos aires san andres de giles,4600,2000
1983,buenos aires san andres de giles,5000,1800
1984,buenos aires san andres de giles,7000,2000
1985,buenos aires san andres de giles,5000,1200
1986,buenos aires san andres de giles,4600,1935
1987,buenos aires san andres de giles,3900,1949
1988,buenos aires san andres de giles,3500,1714
1989,buenos aires san andres de giles,12400,2403
1990,buenos aires san andres de giles,13700,2299
1991,buenos aires san andres de giles,9600,2000
1992,buenos aires san andres de giles,11000,3055
1993,buenos aires san andres de giles,8700,1805
1994,buenos aires san andres de giles,11000,2600
1995,buenos aires san andres de giles,12600,3000
1996,buenos aires san andres de giles,15000,3500
1997,buenos aires san andres de giles,13500,2800
1998,buenos aires san andres de giles,10500,3333
1999,buenos aires san andres de giles,12500,3040
2000,buenos aires san andres de giles,10000,3000
2001,buenos aires san andres de giles,9000,1500
2002,buenos aires san andres de giles,7000,2000
2003,buenos aires san andres de giles,5000,3000
2004,buenos aires san andres de giles,6800,3600
2005,buenos aires san andres de giles,6000,3800
2006,buenos aires san andres de giles,6800,3900
2007,buenos aires san andres de giles,6800,4400
2008,buenos aires san andres de giles,5400,2800
2009,buenos aires san andres de giles,14910,4728
2010,buenos aires san andres de giles,14800,5164
2011,buenos aires san andres de giles,13600,4900
2012,buenos aires san andres de giles,10300,3300
2013,buenos aires san andres de giles,11000,4000
2014,buenos aires san andres de giles,8000,3900
2015,buenos aires san andres de giles,7520,4199
2016,buenos aires san andres de giles,7180,4500
2017,buenos aires san andres de giles,13440,4500
2018,buenos aires san andres de giles,18500,4500
2019,buenos aires san andres de giles,16000,3800
2020,buenos aires san andres de giles,19000,3000
2021,buenos aires san andres de giles,18000,4900
1969,buenos aires san antonio de areco,4800,1500
1970,buenos aires san antonio de areco,3950,2304
1971,buenos aires san antonio de areco,5000,1600
1972,buenos aires san antonio de areco,6500,2200
1973,buenos aires san antonio de areco,3000,1400
1974,buenos aires san antonio de areco,3000,2067
1975,buenos aires san antonio de areco,5000,2200
1976,buenos aires san antonio de areco,5200,1700
1977,buenos aires san antonio de areco,4650,2000
1978,buenos aires san antonio de areco,5100,2000
1979,buenos aires san antonio de areco,3500,2000
1980,buenos aires san antonio de areco,9500,2105
1981,buenos aires san antonio de areco,13000,2000
1982,buenos aires san antonio de areco,13000,2900
1983,buenos aires san antonio de areco,12000,2000
1984,buenos aires san antonio de areco,12000,2500
1985,buenos aires san antonio de areco,9900,1700
1986,buenos aires san antonio de areco,9700,1794
1987,buenos aires san antonio de areco,8700,1902
1988,buenos aires san antonio de areco,8000,1900
1989,buenos aires san antonio de areco,7000,2500
1990,buenos aires san antonio de areco,8600,2256
1991,buenos aires san antonio de areco,3800,1789
1992,buenos aires san antonio de areco,4000,2350
1993,buenos aires san antonio de areco,8350,1497
1994,buenos aires san antonio de areco,6300,2698
1995,buenos aires san antonio de areco,9200,2902
1996,buenos aires san antonio de areco,20000,3150
1997,buenos aires san antonio de areco,14000,2750
1998,buenos aires san antonio de areco,11500,3130
1999,buenos aires san antonio de areco,13000,3115
2000,buenos aires san antonio de areco,9000,2700
2001,buenos aires san antonio de areco,10000,1800
2002,buenos aires san antonio de areco,7000,1500
2003,buenos aires san antonio de areco,5400,3300
2004,buenos aires san antonio de areco,5500,3300
2005,buenos aires san antonio de areco,5250,3600
2006,buenos aires san antonio de areco,10700,3900
2007,buenos aires san antonio de areco,10850,4300
2008,buenos aires san antonio de areco,7550,2300
2009,buenos aires san antonio de areco,4650,4528
2010,buenos aires san antonio de areco,4100,4337
2011,buenos aires san antonio de areco,4550,4600
2012,buenos aires san antonio de areco,3470,2900
2013,buenos aires san antonio de areco,3650,4200
2014,buenos aires san antonio de areco,4300,3558
2015,buenos aires san antonio de areco,5440,3779
2016,buenos aires san antonio de areco,14460,4500
2017,buenos aires san antonio de areco,11850,4400
2018,buenos aires san antonio de areco,10240,4500
2019,buenos aires san antonio de areco,16121,4000
2020,buenos aires san antonio de areco,16700,3900
2021,buenos aires san antonio de areco,11316,4900
1969,buenos aires san cayetano,67100,1850
1970,buenos aires san cayetano,70200,1670
1971,buenos aires san cayetano,57000,1600
1972,buenos aires san cayetano,64000,2141
1973,buenos aires san cayetano,63500,1800
1974,buenos aires san cayetano,68400,1632
1975,buenos aires san cayetano,72000,1800
1976,buenos aires san cayetano,91000,1860
1977,buenos aires san cayetano,57200,1608
1978,buenos aires san cayetano,67500,2000
1979,buenos aires san cayetano,74700,2000
1980,buenos aires san cayetano,54600,2289
1981,buenos aires san cayetano,90000,1650
1982,buenos aires san cayetano,115000,2696
1983,buenos aires san cayetano,128900,2396
1984,buenos aires san cayetano,93000,2226
1985,buenos aires san cayetano,85000,1706
1986,buenos aires san cayetano,79400,1801
1987,buenos aires san cayetano,78000,1972
1988,buenos aires san cayetano,69000,1391
1989,buenos aires san cayetano,77000,2403
1990,buenos aires san cayetano,69800,1742
1991,buenos aires san cayetano,67000,2522
1992,buenos aires san cayetano,64000,2828
1993,buenos aires san cayetano,63000,2297
1994,buenos aires san cayetano,72700,2750
1995,buenos aires san cayetano,77000,2487
1996,buenos aires san cayetano,114000,2354
1997,buenos aires san cayetano,98000,3218
1998,buenos aires san cayetano,102700,2337
1999,buenos aires san cayetano,116000,2802
2000,buenos aires san cayetano,127000,2891
2001,buenos aires san cayetano,114000,2719
2002,buenos aires san cayetano,105000,2074
2003,buenos aires san cayetano,123700,3493
2004,buenos aires san cayetano,123000,2950
2005,buenos aires san cayetano,111415,3200
2006,buenos aires san cayetano,112430,3285
2007,buenos aires san cayetano,95565,1998
