model,year,init_month,forecasted_month,rain,tmean,lat,lon
PNU,1998,11,11,0.0011868724822998048,14.623193359375023,-37.5,-67.5
PNU,1998,11,11,0.0018846958875656128,17.751641845703148,-37.5,-65.0
PNU,1998,11,11,0.0015708026885986328,19.111291503906273,-37.5,-62.5
PNU,1998,11,11,0.0017836627960205079,18.904321289062523,-37.5,-60.0
PNU,1998,11,11,0.0011423377990722656,15.519097900390648,-37.5,-57.5
PNU,1998,11,11,0.0011423358917236328,15.503656005859398,-37.5,-55.0
PNU,1998,11,11,0.001386180877685547,15.168084716796898,-35.0,-67.5
PNU,1998,11,11,0.0032599785327911378,17.658959960937523,-35.0,-65.0
PNU,1998,11,11,0.0023997390270233156,19.679162597656273,-35.0,-62.5
PNU,1998,11,11,0.002311190128326416,20.095239257812523,-35.0,-60.0
PNU,1998,11,11,0.002369765281677246,20.185021972656273,-35.0,-57.5
PNU,1998,11,11,0.002369762659072876,20.177148437500023,-35.0,-55.0
PNU,1998,11,11,0.001291871666908264,16.048760986328148,-32.5,-67.5
PNU,1998,11,11,0.004085623741149903,18.455987548828148,-32.5,-65.0
PNU,1998,11,11,0.002755338907241821,19.863397216796898,-32.5,-62.5
PNU,1998,11,11,0.0025577311515808106,20.644128417968773,-32.5,-60.0
PNU,1998,11,11,0.0023923861980438233,20.419824218750023,-32.5,-57.5
PNU,1998,11,11,0.0023923861980438233,20.418481445312523,-32.5,-55.0
PNU,1998,11,11,0.0013746918439865113,15.629113769531273,-30.0,-67.5
PNU,1998,11,11,0.005773777484893799,18.485864257812523,-30.0,-65.0
PNU,1998,11,11,0.0027779340744018555,20.641198730468773,-30.0,-62.5
PNU,1998,11,11,0.003420123815536499,20.727807617187523,-30.0,-60.0
PNU,1998,11,11,0.0024489853382110597,20.540338134765648,-30.0,-57.5
PNU,1998,11,11,0.0024489846229553223,20.539636230468773,-30.0,-55.0
PNU,1999,11,11,0.001791082501411438,10.113244628906273,-45.0,-67.5
PNU,1999,11,11,0.0012210651636123658,10.480828857421898,-45.0,-65.0
PNU,1999,11,11,0.0010834767818450927,10.463861083984398,-45.0,-62.5
PNU,1999,11,11,0.0011321710348129272,9.359857177734398,-45.0,-60.0
PNU,1999,11,11,0.0012873742580413819,8.155541992187523,-45.0,-57.5
PNU,1999,11,11,0.0012874007225036621,8.129083251953148,-45.0,-55.0
PNU,1999,11,11,0.0015595778226852417,11.340081787109398,-42.5,-67.5
PNU,1999,11,11,0.0012091854810714721,14.205255126953148,-42.5,-65.0
PNU,1999,11,11,0.0008901218771934509,12.449639892578148,-42.5,-62.5
PNU,1999,11,11,0.0009407139420509338,11.340692138671898,-42.5,-60.0
PNU,1999,11,11,0.0010953569412231446,10.201806640625023,-42.5,-57.5
PNU,1999,11,11,0.0010953736305236816,10.184136962890648,-42.5,-55.0
PNU,1999,11,11,0.001137686252593994,12.728387451171898,-40.0,-67.5
PNU,1999,11,11,0.00130588698387146,16.040612792968773,-40.0,-65.0
PNU,1999,11,11,0.0010105975866317749,14.682031250000023,-40.0,-62.5
PNU,1999,11,11,0.000992322564125061,13.694543457031273,-40.0,-60.0
PNU,1999,11,11,0.0011679811477661134,12.754754638671898,-40.0,-57.5
PNU,1999,11,11,0.0011679908037185668,12.746636962890648,-40.0,-55.0
PNU,1999,11,11,0.0009404770135879516,14.048669433593773,-37.5,-67.5
PNU,1999,11,11,0.0018485347032546997,17.282891845703148,-37.5,-65.0
PNU,1999,11,11,0.002002561092376709,18.834161376953148,-37.5,-62.5
PNU,1999,11,11,0.0020910396575927735,18.815820312500023,-37.5,-60.0
PNU,1999,11,11,0.0011583176851272584,15.356988525390648,-37.5,-57.5
PNU,1999,11,11,0.001158312201499939,15.341363525390648,-37.5,-55.0
PNU,1999,11,11,0.0008414146304130554,15.029412841796898,-35.0,-67.5
PNU,1999,11,11,0.003120523691177368,17.533197021484398,-35.0,-65.0
PNU,1999,11,11,0.0025933716297149656,19.525781250000023,-35.0,-62.5
PNU,1999,11,11,0.0023475584983825683,19.972070312500023,-35.0,-60.0
