year,model,init_month,yield [kg/ha],yield anomaly [%],tmeanrain_santa fe san justo_10,tmeansquared_entre rios nogoya_9,tmeanrain_santa fe san justo_11,tmeansquared_buenos aires coronel suarez_11,tmeanrain_buenos aires coronel suarez_11,rainsquared_buenos aires hipolito yrigoyen_9,tmeanrain_entre rios nogoya_10,tmeansquared_santa fe san justo_9,rainsquared_santa fe san justo_11,tmeanrain_buenos aires coronel suarez_9
2008,BOM,9,2024.453890851962,-0.2906591931618024,-0.7215303068550196,-0.7904839766042389,0.26667710694280217,-0.4763566237153053,0.4165967660361276,-0.5725069331872114,-1.1085155804061102,-0.5998936865773787,-0.7932437727147104,0.12033721218058467
2008,BOM,10,2024.453890851962,-0.2906591931618024,1.3445343162713153,-0.7791276309242257,-0.7808437565194921,-0.2882618694501044,0.0017204361710743245,-0.6415970205877183,1.3085327994813287,-0.7953428392273829,-0.6220885758189296,0.4254184536933775
2008,BOM,11,2024.453890851962,-0.2906591931618024,-0.0428161618401154,-0.7791276309242257,-0.6728041615151772,1.5177129637880917,-1.4609725860306306,-0.6415970205877183,-0.5457123900637905,-0.7953428392273829,-0.5812945454995464,0.4254184536933775
2009,BOM,9,2970.2970292832338,0.0808897038617558,0.963134366270583,3.778355693733109,1.0410803286090715,-0.16479683016772997,0.11118397665926755,-0.5710735688675547,1.8309800348386813,2.5258111369145686,0.01853601856297565,0.5110595939459788
2009,BOM,10,2970.2970292832338,0.0808897038617558,-0.8428619645742526,2.965233373096647,-1.1145425796225907,0.5030281995946061,1.536739682131766,1.6805210396152932,-0.1615013926240337,1.265722958296925,-0.7874125720217144,-0.3130768368150753
2009,BOM,11,2970.2970292832338,0.0808897038617558,-0.8519987905415094,2.965233373096647,0.34337636160477614,2.0483335944341228,-0.44272026411592413,1.6805210396152932,0.2984375023917234,1.265722958296925,-0.8228991966974517,-0.3130768368150753
2010,BOM,9,3933.646838880765,0.395993458774148,-0.5425940836504883,-0.7920209752795071,-0.09974729270903109,10.168764261458042,-3.6092514830773266,-0.5624459476050937,-0.23619312917310667,-0.6211094327852842,-0.3453585656642159,0.5331398561636872
2010,BOM,10,3933.646838880765,0.395993458774148,-0.2037500311271071,-0.7603450853378078,1.3555653138217796,-0.5170047905842834,0.3621391517329933,7.542780198379432,-0.018418767588005577,-0.3947523768109034,0.3496354643726813,0.5634488518503973
2010,BOM,11,3933.646838880765,0.395993458774148,2.036837565443592,-0.7603450853378078,1.4518994226012882,0.09436279112762493,-0.6107968898646375,7.542780198379432,2.3370221618687843,-0.3947523768109034,1.2158306791521165,0.5634488518503973
2011,BOM,9,3647.926665981048,0.1954531458213887,-0.02080770510349936,0.9543509399989265,0.6249786624445742,-0.5481865332423083,0.4230933088079267,-0.6491003585356492,0.22308759300456663,1.6374281820721996,1.146595148788915,0.3736828692600309
2011,BOM,10,3647.926665981048,0.1954531458213887,0.19996684139626328,-0.3211908844032795,0.5804630907543772,-0.5267883737349878,0.39110683646102506,0.2016136427713641,0.06841575371396749,-0.7358089556367513,-0.5637850891084433,-0.7891330773952606
2011,BOM,11,3647.926665981048,0.1954531458213887,0.4995086666391728,-0.3211908844032795,0.6985886998428279,-0.8899332732118157,0.44336866100510103,0.2016136427713641,-0.4386422002424593,-0.7358089556367513,-0.5665232292320359,-0.7891330773952606
2012,BOM,9,2958.105831211545,-0.0776281120723763,-0.49538332616278136,-0.378094725117554,-0.11708478722177697,-0.5368138898685559,0.43146892612391624,-0.22366969404983386,1.7868000647053794,-0.44748607407214586,-0.8571435606528848,0.06141075822783604
2012,BOM,10,2958.105831211545,-0.0776281120723763,0.7745531705084565,-0.504661583887977,-0.022771908702791478,-0.5129494221876644,0.3716054295291984,-0.3925187017445242,1.2188518777725401,-0.1056209640092693,-0.6701024768739287,-0.115485635683015
2012,BOM,11,2958.105831211545,-0.0776281120723763,0.560588938611858,-0.504661583887977,0.5966534684255205,-0.8594739762437825,0.6367593596137314,-0.3925187017445242,0.6759740386534989,-0.1056209640092693,1.2239249776471242,-0.115485635683015
2013,BOM,9,2707.197486937163,-0.1611192435848817,0.11579956605486011,-0.36736707486423875,0.004593071000738847,-0.5163754465250474,0.8403529443158297,-0.49722657180459806,-0.5868364464782952,-0.8326575264563555,-0.8554132862051612,-0.0870322041991236
2013,BOM,10,2707.197486937163,-0.1611192435848817,-1.4594760239726399,-0.6804488881227011,-0.5960740476958553,10.17009780314101,-3.4022711806633157,-0.5336313087167431,-3.3577611828680154,-0.5079844131037985,-0.704136488576142,-0.8585340470000414
2013,BOM,11,2707.197486937163,-0.1611192435848817,-3.0487548960056072,-0.6804488881227011,-0.1551196389847804,-0.6944521197533559,0.8002879351309016,-0.5336313087167431,-1.322757576075895,-0.5079844131037985,-0.7953785801622625,-0.8585340470000414
2014,BOM,9,2892.8454356606403,-0.0935090762133243,-0.39069689571134597,-0.7288655906142371,1.5618592567221872,-0.5151053164674175,0.6051634028952279,0.7065392482406566,0.10066719277505422,-0.7680966221561877,1.18643844589525,0.6813380906892419
2014,BOM,10,2892.8454356606403,-0.0935090762133243,-0.3725154758470027,-0.3227693815751765,3.2161010543127,-0.5208435426176431,0.4144029517641337,-0.500335100763234,0.6798686244877326,-0.5166882178274067,2.978506733188606,-0.5108494742853904
2014,BOM,11,2892.8454356606403,-0.0935090762133243,1.4845135388071422,-0.3227693815751765,-0.4197411459499808,-0.7589826047811755,0.30410444800471376,-0.500335100763234,1.5268317288896156,-0.5166882178274067,-0.658951193850684,-0.5108494742853904
2015,BOM,9,3101.367971827829,-0.0324093531892292,0.0662291137127656,0.9156851362670392,-0.0669148676615632,0.22364348024471423,-0.8776868885150816,0.9647476274021879,0.4120747429053966,-0.13415482327882572,0.30907102309705775,1.470016418171925
2015,BOM,10,3101.367971827829,-0.0324093531892292,-0.22038008641283643,-0.2108511511396952,-2.909976854648392,0.8512648353288347,-1.4581086654778321,-0.3569490759502374,-0.17788846173170583,-0.7948222604371188,0.1812708735161259,1.1540804948213494
2015,BOM,11,3101.367971827829,-0.0324093531892292,0.0703340950794747,-0.2108511511396952,-2.7920514173671633,2.253094443479264,-4.660737018028069,-0.3569490759502374,2.148457840800437,-0.7948222604371188,3.204339084428568,1.1540804948213494
