year,model,init_month,yield [kg/ha],yield anomaly [%],tmeanrain_santa fe san justo_10,tmeanrain_santa fe san justo_11,rainsquared_buenos aires lujan_9,rainsquared_buenos aires villarino_11,tmeanrain_buenos aires hipolito yrigoyen_11,tmeansquared_buenos aires hipolito yrigoyen_11,tmeanrain_buenos aires coronel suarez_11,rainsquared_buenos aires hipolito yrigoyen_9,rainsquared_santa fe la capital_11,rainsquared_buenos aires saavedra_10,rainsquared_santa fe san justo_11
2010,BOM,10,3933.646838880765,0.395993458774148,0.31214765266461136,1.2536096544404565,-0.3017313080288065,-0.6727215554118636,0.3608487324697801,-0.6537852061746119,0.3920370765654673,6.25880380270696,0.27374507178250423,-0.4483384332255653,0.33330919629248856
2010,BOM,11,3933.646838880765,0.395993458774148,1.9765190236549584,1.5417208086728769,-0.3017313080288065,1.1837601544123182,-0.26232226579493295,-0.16285865249721926,-0.600651774801524,6.25880380270696,0.5236892398241098,-0.4568963315712104,0.7238726961816843
2011,BOM,9,3647.926665981048,0.1954531458213887,-0.08934778331593801,0.4646647343642241,0.17131342107434033,0.0020766730513509576,0.46002495172615715,-0.6935038089283767,0.47456291162032577,-0.7614365398959015,0.5612416415879207,-0.5696601261575303,0.5979964858350534
2011,BOM,10,3647.926665981048,0.1954531458213887,0.3027698729169491,0.5716351975794237,-1.1331917957599946,-0.24873067586501058,0.37259950137141357,-0.6749417454560566,0.3969557905351089,0.2181487212223256,-0.037492576078066595,-0.4569542288651816,-0.5345139690641836
2011,BOM,11,3647.926665981048,0.1954531458213887,0.4215007055606539,0.9579324290151596,-1.1331917957599946,0.07359794785873805,0.6524443190175993,-0.7141797775984026,0.47051553750000663,0.2181487212223256,-0.45960884432531923,-0.6709800886768872,-0.36177644167993844
2012,BOM,9,2958.105831211545,-0.0776281120723763,-0.4599386865563563,-0.12498877371793009,-0.7670064784974905,-0.45665686357356516,0.40749971542037805,-0.6866478163405608,0.4311855250720165,-0.23007486957523907,1.502336002345128,0.030512639294476236,-0.7076773295982599
2012,BOM,10,2958.105831211545,-0.0776281120723763,0.6868515991850841,-0.03111792754121825,-0.3264391334964231,-0.5075072755061212,0.412905655899084,-0.578577150289508,0.38573044955918956,-0.4965444009707422,0.12476542758020585,-0.13666839389288546,-0.7196933736443181
2012,BOM,11,2958.105831211545,-0.0776281120723763,0.8328598529406941,1.3232484093556127,-0.3264391334964231,0.10731024532040268,0.5516200928622719,-0.8319925461378027,0.4953377476561229,-0.4965444009707422,-0.5214390932274274,-0.1143066474306867,1.0465541115172683
2013,BOM,9,2707.197486937163,-0.1611192435848817,0.15225920189473216,0.07724756636916677,-0.4086935136693179,1.2370877143686692,1.099219813307373,-0.6079506641901236,1.0194248908003434,-0.6482394623759372,-0.790385839419541,-0.4187484405120462,-0.7088296895359526
2013,BOM,10,2707.197486937163,-0.1611192435848817,-1.173227543721626,-0.43575844960889487,-1.160955937205295,-0.4104231892839546,-2.115091768334173,5.640091092430582,-2.654958105840032,-0.6729714154471901,-0.7223231854615035,0.024813396257701677,-0.6795691361955503
2013,BOM,11,2707.197486937163,-0.1611192435848817,-2.8333527119448627,-0.1712541559714303,-1.160955937205295,0.43619670364448154,0.6713648521168469,-0.6191226799807253,0.9803839399042567,-0.6729714154471901,-0.7619325567629562,-0.7445310650805169,-0.6814262688211575
2014,BOM,9,2892.8454356606403,-0.0935090762133243,-0.40199515716312534,1.4150063388259528,-0.22290961959979197,-0.6919990603312286,0.5201190769644477,-0.6164831927057274,0.6305250132284361,0.3723427868104013,-0.6474585141992805,-0.5389140260794893,1.0641926971612625
2014,BOM,10,2892.8454356606403,-0.0935090762133243,-0.350905643075946,2.328969421017389,0.2908162117381043,-0.6713929203525597,0.39962458069291273,-0.6791585781692716,0.4249953410114406,-0.6308703372614998,1.9265657675041221,-0.748410322699241,3.049862597523838
2014,BOM,11,2892.8454356606403,-0.0935090762133243,2.1462740030647893,-0.29210181181837447,0.2908162117381043,-0.44868558795984936,0.42738163619147557,-0.6942538597409854,0.30493752549068076,-0.6308703372614998,-0.7103655047237415,4.001278567981049,-0.6551138404739766
2015,BOM,9,3101.367971827829,-0.0324093531892292,-0.12413682632488204,0.06681231749017012,0.7615375596788932,0.08228076125691644,-0.6366771388596572,-0.08736904937263476,-1.311006426252711,0.7103116401793786,-0.7760767752840474,2.861466325069765,0.5012349365260556
