year,model,init_month,yield [kg/ha],yield anomaly [%],tmeanrain_santa fe san justo_10,rainsquared_santa fe san justo_11,rainsquared_santa fe las colonias_11,tmeanrain_santa fe san justo_11,tmeanrain_buenos aires hipolito yrigoyen_11,tmeanrain_buenos aires coronel suarez_11,rainsquared_buenos aires hipolito yrigoyen_9,tmeansquared_buenos aires coronel suarez_11
2012,BOM,9,2958.105831211545,-0.0776281120723763,-0.49538332616278136,-0.8571435606528848,-0.865477897257564,-0.11708478722177697,0.3247773604893796,0.43146892612391624,-0.22366969404983386,-0.5368138898685559
2012,BOM,10,2958.105831211545,-0.0776281120723763,0.7745531705084565,-0.6701024768739287,-0.7815305271946191,-0.022771908702791478,0.40929407618964053,0.3716054295291984,-0.3925187017445242,-0.5129494221876644
2012,BOM,11,2958.105831211545,-0.0776281120723763,0.560588938611858,1.2239249776471242,2.1413124906714445,0.5966534684255205,0.581893519734124,0.6367593596137314,-0.3925187017445242,-0.8594739762437825
2013,BOM,9,2707.197486937163,-0.1611192435848817,0.11579956605486011,-0.8554132862051612,-0.8674071843328897,0.004593071000738847,1.2282129654299083,0.8403529443158297,-0.49722657180459806,-0.5163754465250474
2013,BOM,10,2707.197486937163,-0.1611192435848817,-1.4594760239726399,-0.704136488576142,-0.8318397365564784,-0.5960740476958553,-2.3526718696968816,-3.4022711806633157,-0.5336313087167431,10.17009780314101
2013,BOM,11,2707.197486937163,-0.1611192435848817,-3.0487548960056072,-0.7953785801622625,-0.8355967905868174,-0.1551196389847804,0.6164474724284239,0.8002879351309016,-0.5336313087167431,-0.6944521197533559
2014,BOM,9,2892.8454356606403,-0.0935090762133243,-0.39069689571134597,1.18643844589525,2.1300541914349442,1.5618592567221872,0.4387816563568591,0.6051634028952279,0.7065392482406566,-0.5151053164674175
2014,BOM,10,2892.8454356606403,-0.0935090762133243,-0.3725154758470027,2.978506733188606,2.5838142318205435,3.2161010543127,0.39936783836757334,0.4144029517641337,-0.500335100763234,-0.5208435426176431
2014,BOM,11,2892.8454356606403,-0.0935090762133243,1.4845135388071422,-0.658951193850684,-0.7750555179361946,-0.4197411459499808,0.416535433852412,0.30410444800471376,-0.500335100763234,-0.7589826047811755
2015,BOM,9,3101.367971827829,-0.0324093531892292,0.0662291137127656,0.30907102309705775,0.3104781893226997,-0.0669148676615632,-0.7065930357279211,-0.8776868885150816,0.9647476274021879,0.22364348024471423
2015,BOM,10,3101.367971827829,-0.0324093531892292,-0.22038008641283643,0.1812708735161259,-0.07097238280402801,-2.909976854648392,-1.2529728673229592,-1.4581086654778321,-0.3569490759502374,0.8512648353288347
2015,BOM,11,3101.367971827829,-0.0324093531892292,0.0703340950794747,3.204339084428568,2.644366328168866,-2.7920514173671633,-6.820017395546308,-4.660737018028069,-0.3569490759502374,2.253094443479264
2016,BOM,9,3477.431893841902,0.0660093515389699,-2.1497292733152795,-0.46352126780298214,-0.592834638393228,0.458844437621326,0.23703571100651713,0.14206548777248867,-0.6282221488123384,-0.27939896933555386
2016,BOM,10,3477.431893841902,0.0660093515389699,-0.5461959940119693,-0.5685084596290234,-0.321558004223892,-0.9460812595980518,0.6135659476045162,0.6207306030457906,-0.4375762119376423,-0.05863383644302498
2016,BOM,11,3477.431893841902,0.0660093515389699,0.0732219174662973,0.2121927516730808,0.24972368458062244,-1.4417825335506542,0.3771963785788356,0.33679446166193916,-0.4375762119376423,-0.17669697869343792
1993,CCSM4,9,2037.439151033997,-0.0461708621216909,-0.3072048224068185,-0.5228644105591992,-0.2858320676156334,0.05580857544453218,-0.2632651354584038,-0.486819525470244,-0.46408776523295237,-0.1735999067830063
1993,CCSM4,10,2037.439151033997,-0.0461708621216909,1.2610546067675725,-0.5279401556950711,-0.4220726109397653,0.4437345836083265,0.6956966618979654,0.4209627024233013,-0.5040017024172249,0.16346430442070867
1993,CCSM4,11,2037.439151033997,-0.0461708621216909,-2.84516746888442,0.4883684949686554,0.2689196877892918,-1.6744263877299934,0.37473412763065717,-0.10706003220316854,-0.5040017024172249,-0.19098101616769242
1994,CCSM4,9,2185.741997507356,0.018137739947107,-0.1917954051011261,-0.7394240319189725,-0.7952066790689065,-0.2821397183485548,-0.48743572916649097,0.1706819767962174,0.22582401675044142,0.16237102506051
1994,CCSM4,10,2185.741997507356,0.018137739947107,0.773585800300087,-0.8125845961497518,-0.7937651726657247,-0.02096166239791362,0.9416330855988257,1.0746208679850904,-0.5151841819496545,0.1396543903866471
1994,CCSM4,11,2185.741997507356,0.018137739947107,-1.192060104718745,-0.8421754234150324,-0.874200529582219,0.09934379691664622,0.44091352600995853,0.5025699877621531,-0.5151841819496545,-0.46865391189317585
1995,CCSM4,9,1946.759707253285,-0.1022646938567331,-0.7202673322631963,1.1418845111799694,1.0904576324924027,-0.24311599337077683,0.11907894029133703,0.4543479545285009,-0.32014765041349247,-0.5486886521965502
1995,CCSM4,10,1946.759707253285,-0.1022646938567331,-2.213698368593614,-0.6873355672637772,-0.8407051278337968,0.4951092150309631,0.14798691777010006,0.33869162630098815,-0.2192486650489319,-0.5491209858493729
1995,CCSM4,11,1946.759707253285,-0.1022646938567331,0.2046023600664648,-0.6697041144262703,-0.8294887300237136,0.05782960412378157,0.4162111982173031,0.49458195954950673,-0.2192486650489319,-0.47060250949665067
1996,CCSM4,9,2260.47032027338,0.0409677436828619,-0.09773393211584162,1.2695995130944018,1.2171511021646313,-0.5519375918603284,-0.8780837548827622,-1.598997396977686,0.301194393948709,0.4794853499481586
1996,CCSM4,10,2260.47032027338,0.0409677436828619,-0.3334234797477626,-0.5623447552220728,-0.34810386144498484,0.005674412210044334,0.07762890998449828,0.45296284804671794,-0.2548149533584984,-0.4488497399882105
1996,CCSM4,11,2260.47032027338,0.0409677436828619,0.0020812526940399,0.15986310505195864,-0.13254857196531528,0.4487752608217512,0.3966681915656922,0.2465462732912824,-0.2548149533584984,-0.3751635408431785
1997,CCSM4,9,2623.2529203255017,0.1759128118634677,-0.6793539876790706,3.0124411314509705,2.5932475479886166,-1.702210935472968,-0.16404002629759062,-1.5643780531589433,0.9624839566233925,1.065577422306364
1997,CCSM4,10,2623.2529203255017,0.1759128118634677,0.05888165590401605,3.5617305434060262,3.3048049962005006,-3.498003764518143,-0.5112633242202893,-3.3191976384652295,-0.4409148741206526,1.0004261513114048
1997,CCSM4,11,2623.2529203255017,0.1759128118634677,0.0658235565137465,1.5111849568324327,2.235518910705843,-2.407691527290104,0.17804441265386461,-0.8775990591047065,-0.4409148741206526,0.8947194249706157
1998,CCSM4,9,2304.962651203633,-0.0069315508171687,0.5709565723506627,-0.5156162512093712,-0.30128547924174387,1.1378417430747727,-0.18825175844742303,0.29646032610395,-0.45013359910228723,-0.13139457507196808
1998,CCSM4,10,2304.962651203633,-0.0069315508171687,-0.6592723685790989,-0.34628799364068946,-0.14662021800912362,-0.12314105796781111,-0.48658444729201433,0.0008389447938554269,-0.5361534570880869,-0.479857692386437
1998,CCSM4,11,2304.962651203633,-0.0069315508171687,-0.1869524525995096,-0.3981418505566539,-0.22710359428846374,0.6292944169821693,0.24299472567489472,0.14445281286824643,-0.5361534570880869,-0.16067870783777655
1999,CCSM4,9,2505.6008274599226,0.0603710133986302,1.0136691322311773,-0.09351532721764297,0.02660607325936707,0.05517327899996242,-0.5540237147887319,-0.502407321360402,-0.5966459851555661,-0.2888935810822072
1999,CCSM4,10,2505.6008274599226,0.0603710133986302,0.7950070859515824,1.153998676300579,1.412906164001443,-1.3635416131907292,-0.7754287754494238,-3.636538398117262,0.9231740065533972,10.61047117167389
1999,CCSM4,11,2505.6008274599226,0.0603710133986302,0.598296233990747,-0.8141586628564506,-0.8738764298778561,0.6218607060491416,-2.781966362462508,-0.11039811584972091,0.9231740065533972,-0.33401806044082955
2000,CCSM4,9,2551.682570811968,0.0453192686395238,-0.34588505173859163,-0.5835614183387944,-0.6918773525913116,0.015624274897952525,0.16514719144954698,0.34452124794005035,-0.5140546299997375,-0.5353208135762332
2000,CCSM4,10,2551.682570811968,0.0453192686395238,0.13399950019072743,-0.5786267743088663,-0.3885746383433899,0.13361163131433318,0.12013340775865641,0.3752492223854582,-0.5292592793592488,-0.5437427073679467
2000,CCSM4,11,2551.682570811968,0.0453192686395238,-0.0698690826065604,-0.5838232586714879,-0.3532198784633402,-0.34941095077031037,0.5456170311870394,0.5850111897777406,-0.5292592793592488,-0.4704670993016945
2001,CCSM4,9,2275.107945586972,-0.0832118001855024,-0.33965543639008583,-0.542117919927342,-0.33085900926196876,-0.4156795898029927,0.10904903806724099,0.4614522174867033,1.7840492116711837,-0.5421608330077943
2001,CCSM4,10,2275.107945586972,-0.0832118001855024,0.11885773876351431,-0.64385602432725,-0.8119232838077701,0.30205375649791416,-0.0737738503556278,-0.3673006760418549,0.0888929796124224,0.5318513092765075
2001,CCSM4,11,2275.107945586972,-0.0832118001855024,-0.4466574438188995,-0.6516677478001853,-0.7483669939256062,0.12123237773302867,0.24362288331100085,0.44594862757369186,0.0888929796124224,-0.480973998613884
2002,CCSM4,9,2098.312168451822,-0.1599897413045245,0.1254488096069813,0.06285560045877983,-0.14811547740625708,0.03126488417662258,-0.31734510016541645,0.602186575383826,-0.5317467122133369,-0.39267741954682445
2002,CCSM4,10,2098.312168451822,-0.1599897413045245,1.8289038445478811,0.5569072546791821,0.4360807159137299,0.0196168940974227,-1.570951342730908,-0.6718909532853069,-0.6408790443192578,0.23918248840867362
2002,CCSM4,11,2098.312168451822,-0.1599897413045245,0.8836079055713022,-0.8216344212452785,-0.8391660816439266,0.11911099764429076,-2.312686275630417,-0.3856551107201685,-0.6408790443192578,0.004279164137450677
2003,CCSM4,9,2687.6983520115846,0.0867211661741361,0.768011552207816,-0.3855900184738723,-0.5575788252620344,-0.5241404450593184,0.1780385327714537,0.4285167490616052,-0.37455878325374325,-0.5481488861434077
2003,CCSM4,10,2687.6983520115846,0.0867211661741361,0.07184858988335133,-0.7315268832499713,-0.7799448435991283,0.01578886768782529,0.09515285214655049,0.204080097889819,0.0571284311943044,-0.5345801038537965
2003,CCSM4,11,2687.6983520115846,0.0867211661741361,-0.3097749453826457,-0.8822013021889688,-0.868872720608684,0.12220265355304197,0.27419809283803737,0.4870580382849613,0.0571284311943044,-0.09116972156396626
2004,CCSM4,9,2768.3673897008125,0.0933536252225563,-2.0061447763943385,1.290128244255636,2.24173121160254,-2.558261852804101,0.2252199120822779,1.4032597634549195,-0.5469330782847824,0.2226886770860906
2004,CCSM4,10,2768.3673897008125,0.0933536252225563,-0.794385351278586,-0.3435129491277993,-0.48758723572382284,0.09718429268107169,0.1344996875885863,-0.05054511123266924,-0.2857390823426177,-0.29244192245074796
2004,CCSM4,11,2768.3673897008125,0.0933536252225563,0.0498754890435851,-0.596221567701363,-0.358628486037009,-0.18463813956333824,0.33362131219610147,-0.3367543881917333,-0.2857390823426177,0.25103490575035714
2005,CCSM4,9,2652.504506303661,0.0295492665437282,-1.3476200827062852,-0.39693231916638694,-0.17677839092515646,-0.7543611141248736,0.1765355727935991,0.6204626618239042,-0.38098279278729397,-0.5352038109475248
2005,CCSM4,10,2652.504506303661,0.0295492665437282,0.9255501609563188,0.2603896532976805,0.26563188183975167,-0.8489432524087196,-0.8891695547229278,-0.9733594444028393,-0.5823330100573393,-0.056432385494647935
2005,CCSM4,11,2652.504506303661,0.0295492665437282,1.047362348962648,0.03804226540912756,0.11535948818870419,0.5341766323238362,0.016953650741065345,0.07722001621232694,-0.5823330100573393,-0.2394609472343524
2006,CCSM4,9,2802.152801978974,0.0575983895925021,-0.7926783686628731,-0.7442106996796529,-0.8279906957704355,-0.061339805397023085,0.28096074756929945,0.485195659834716,-0.21943940636054263,-0.5297882979111002
2006,CCSM4,10,2802.152801978974,0.0575983895925021,0.223538642068986,0.4416624574588011,0.5320060360772639,-0.1551921006394489,0.06716701157510842,0.3214043501438792,-0.2816089155925115,-0.5418115705472082
2006,CCSM4,11,2802.152801978974,0.0575983895925021,0.8367470255690502,-0.8181102268023366,-0.8461037307840197,0.10815590386698962,0.49793698927058927,0.512335433758347,-0.2816089155925115,-0.48194827757770714
2007,CCSM4,9,2964.9821230781013,0.0901024788182954,-0.22801344821024733,-0.6612975578465585,-0.7850013658027685,0.1279532375144478,0.04226560380957177,0.3994500183649408,-0.25746457510304377,-0.5493650366029618
2007,CCSM4,10,2964.9821230781013,0.0901024788182954,-0.6093183142231078,-0.6446409239528363,-0.7653359737468796,-0.13336601624216562,0.2202588171772143,0.14548273629640482,0.7358328556136267,-0.5186030331734554
2007,CCSM4,11,2964.9821230781013,0.0901024788182954,-0.054436105237017,0.3281088922025266,0.22400238790593327,-1.2746126270427698,0.04843120008231333,0.5164978871001078,0.7358328556136267,-0.48213292430811877
2008,CCSM4,9,2024.453890851962,-0.2906591931618024,-0.22613774182720975,-0.7709166842279884,-0.8345598863949942,0.12603586766422556,-0.014259060613600614,0.30284046057505354,-0.019632373609986774,-0.5222091673986982
2008,CCSM4,10,2024.453890851962,-0.2906591931618024,0.1100478944816135,-0.5569224837588198,-0.3389257943618222,-0.08478180519176134,0.39481459946952585,0.36048569367646477,-0.6415970205877183,-0.5503294852238352
2008,CCSM4,11,2024.453890851962,-0.2906591931618024,-0.0428161618401154,-0.5751873176960812,-0.3403981489728246,-1.196225100803194,0.3017415996311529,0.0739259017640391,-0.6415970205877183,-0.023599022998515216
2009,CCSM4,9,2970.2970292832338,0.0808897038617558,1.0373634710812127,0.2141343780635733,0.3871206478267797,1.1317859056539439,0.09878646277035195,0.4193010123122025,7.039710900920397,-0.05452827477032794
2009,CCSM4,10,2970.2970292832338,0.0808897038617558,0.13178101456834035,0.12288524865640346,0.009802907297601226,0.35887039006537974,0.7389320124500154,1.432770331324419,1.6805210396152932,-0.17220032692765527
2009,CCSM4,11,2970.2970292832338,0.0808897038617558,-0.8519987905415094,1.3577481266876914,2.609293556884971,2.4768630609766475,0.36871706716243013,0.7185562712893426,1.6805210396152932,-0.21995032739017598
2010,CCSM4,9,3933.646838880765,0.395993458774148,0.08220673827025478,-0.5919361113280509,-0.7078178591969286,0.19402249990594972,0.376179043252673,0.5742319308370292,-0.6517055110780068,-0.5476616256092426
2010,CCSM4,10,3933.646838880765,0.395993458774148,0.00337123616432907,1.0084080671769327,0.9694892494873881,0.9075055036850448,1.2966132987211745,0.8879938310498527,7.542780198379432,-0.1813291088177171
2010,CCSM4,11,3933.646838880765,0.395993458774148,2.036837565443592,1.8816119615608542,1.599416419328343,1.1615290356973698,1.3490303068295015,0.5829156506932143,7.542780198379432,0.3728810465120152
2011,CCSM4,9,3647.926665981048,0.1954531458213887,1.8970845516684112,-0.030290743144559557,0.09044010427530781,1.482645388793132,0.22698587834662204,0.09089328598839252,-0.25344836278977745,0.44672700546592464
2011,CCSM4,10,3647.926665981048,0.1954531458213887,0.8004259055491644,-0.10921889164622993,-0.0047746672389521365,0.5870735423623782,0.7052348004447774,1.0772954517997362,0.2016136427713641,-0.40216356698242706
2011,CCSM4,11,3647.926665981048,0.1954531458213887,0.4995086666391728,0.5521005300864468,0.47528808008744394,1.0238123894848508,0.23052742456052408,0.35498675454299916,0.2016136427713641,-0.4584405886683779
2012,CCSM4,9,2958.105831211545,-0.0776281120723763,-0.754788432300482,-0.8096189394165708,-0.8073731346292202,-0.03795777740908597,-0.6648458782968365,-1.8421930639839235,-0.5787113868442991,0.14439775282896217
2012,CCSM4,10,2958.105831211545,-0.0776281120723763,1.1779656898636208,-0.7822333803903526,-0.8409321765615312,0.13239349496009484,0.19933798770461147,0.46034450270811766,-0.3925187017445242,-0.47110114719093144
2012,CCSM4,11,2958.105831211545,-0.0776281120723763,0.560588938611858,0.23779702314945747,-0.10247880998663908,1.4089759410696316,0.4202478467441595,0.5695773361714586,-0.3925187017445242,-0.44561021143216345
2013,CCSM4,9,2707.197486937163,-0.1611192435848817,-0.06432087744420313,-0.7685684990697518,-0.8345658920931261,0.18575808604353147,0.22855378148484423,0.6503889301077102,-0.641367190293176,-0.47701386027906095
2013,CCSM4,10,2707.197486937163,-0.1611192435848817,0.01804613585956946,-0.6201372819933072,-0.7328141748232722,-1.174451885338909,-5.196409866269065,-0.5982346316495283,-0.5336313087167431,0.5174481998663281
2013,CCSM4,11,2707.197486937163,-0.1611192435848817,-3.0487548960056072,4.099934402534196,2.649613999825164,-1.8643472746841465,0.4336480188451435,0.5644180913602864,-0.5336313087167431,-0.4771311543609371
2014,CCSM4,9,2892.8454356606403,-0.0935090762133243,-0.3070981885763802,-0.43540514224835386,-0.5892667290523836,1.411798995578963,7.74492918771424,1.778653871994651,-0.6766138328424498,-0.11905254174268934
2014,CCSM4,10,2892.8454356606403,-0.0935090762133243,-4.079661616239082,-0.4004966283829133,-0.5285472284980022,0.05275491817299162,0.0843778946966201,0.25945550512447213,-0.500335100763234,-0.5324159885902982
