year,model,init_month,yield [kg/ha],yield anomaly [%],tmeanrain_santa fe san justo_11,rainsquared_santa fe san justo_11,rainsquared_buenos aires hipolito yrigoyen_9,tmeanrain_buenos aires coronel suarez_11,rainsquared_la pampa maraco_11,rainsquared_cordoba marcos juarez_11,tmeanrain_buenos aires hipolito yrigoyen_11,tmeansquared_buenos aires hipolito yrigoyen_11,tmeanrain_santa fe san justo_10
2007,NCEP,9,2964.9821230781013,0.0901024788182954,0.5523162381558359,-0.49794637957466875,-0.33509941519396497,0.1635385625090451,-0.8152149857628244,-0.1670652781948762,0.10008458692942844,-0.3714876589610914,0.29965871085875523
2007,NCEP,10,2964.9821230781013,0.0901024788182954,0.18946322644487812,-0.670890688961813,0.9731730385614876,0.4189230386887509,-0.6649975742592434,-0.16090456217336427,0.18512223220765234,-0.2904123218963695,0.1966355790123371
2007,NCEP,11,2964.9821230781013,0.0901024788182954,0.724864531890938,-0.4476668930813508,0.9731730385614876,1.6094161362093626,-0.621681879841221,-0.18561696516985673,0.7725510591308743,-0.25510705579599785,0.0049154429441853
2008,NCEP,9,2024.453890851962,-0.2906591931618024,0.088681005523427,-0.7173981112278437,0.05117177633088816,0.2756856577124093,0.9432326345011045,0.22136220180994384,-0.3994146632230453,-0.22053479361791367,-0.06476868118398744
2008,NCEP,10,2024.453890851962,-0.2906591931618024,-0.0196798760148637,-0.5189069229688008,-0.4628038377526623,0.3097597960159437,-0.5757923320098962,-0.21877604783536098,-0.5583249960057172,-0.20608197539899997,0.014753148892908354
2008,NCEP,11,2024.453890851962,-0.2906591931618024,-1.8990992217041944,-0.4667012973595388,-0.4628038377526623,-1.711366036492223,2.5270294064750676,0.4506982768525866,-2.0640787285798465,0.3857746883318977,-0.0541395418909359
2009,NCEP,9,2970.2970292832338,0.0808897038617558,-0.050076439389765436,-0.7192941051748635,-0.4158099513647716,0.6582338256176206,-0.09475921581524116,-0.07807449802490868,0.13937527018623477,-0.2580983067655582,0.07251162307088424
2009,NCEP,10,2970.2970292832338,0.0808897038617558,0.39136680447028505,-0.49797074974354505,1.9390439464409064,0.6300370360675538,0.6407851491860861,0.28695416590958445,1.0577266094160418,-0.3269051950961631,0.1660244606213758
2009,NCEP,11,2970.2970292832338,0.0808897038617558,-0.5361279620022745,3.2492269627450034,1.9390439464409064,0.31765543991318057,0.13405259745375428,0.3190281743159648,0.010603922081171273,-0.2635181596709352,-0.7982607498664052
2010,NCEP,9,3933.646838880765,0.395993458774148,0.32764865594098824,-0.628101150349022,-0.13020663750633635,0.34379548641819074,-0.735376185319709,-0.2858523820053145,-0.004491774508325765,-0.3990907431021328,0.05790394230494139
2010,NCEP,10,3933.646838880765,0.395993458774148,0.5590121759014686,-0.24601779143936564,7.311170143886938,0.28068620626743923,0.8018479985664145,0.1985994974078856,0.8438349185736449,-0.32756388445286977,0.012230831394323441
2010,NCEP,11,3933.646838880765,0.395993458774148,1.6849656446669259,-0.2308873892281499,7.311170143886938,0.21711449240428246,-0.799226763529266,-0.25524833374966427,1.0546219108948982,0.5994181927470764,1.8410083014036176
2011,NCEP,9,3647.926665981048,0.1954531458213887,0.031817505928125045,-0.5026859642349892,-0.1541055280232615,0.285507808069432,-0.7221935735960069,-0.1866995754125625,-0.06320926955937042,-0.25447522798457467,0.034792682143426325
2011,NCEP,10,3647.926665981048,0.1954531458213887,-0.1937685977113632,0.34508206522434515,0.2638293697618227,-0.2512244942721207,4.738465936243716,0.7128014416255078,-1.2732642224141164,-0.049560713701706685,0.17540722305192466
2011,NCEP,11,3647.926665981048,0.1954531458213887,-0.225675619170343,-0.7145684468995941,0.2638293697618227,0.35826090541852773,0.4744667110446416,0.1458280430507815,0.0927403279612639,-0.12245074880148571,0.3316889796642667
2012,NCEP,9,2958.105831211545,-0.0776281120723763,-1.4206314898364332,3.1202074299034104,6.968050716455363,-0.31695646361403973,0.14934600323837546,0.22993180950752234,-0.3491160228441989,-0.330978246950486,-3.3401055383404863
2012,NCEP,10,2958.105831211545,-0.0776281120723763,-0.4423970502575645,1.4131407597884142,-0.2647845011660614,0.2608885288490829,0.08979095900482993,0.23047388794484394,-0.046961596310472906,-0.29255301630068475,0.03586297250281517
2012,NCEP,11,2958.105831211545,-0.0776281120723763,0.37683914276757097,0.5252806427193056,-0.2647845011660614,0.1022207065700473,-0.44681322692061975,-0.12136362716593121,-0.9124556195414245,-0.26334611549462583,0.5772930546175817
2013,NCEP,9,2707.197486937163,-0.1611192435848817,0.7536609214598707,-0.5856321616017852,1.2243247499747072,-0.7840370669803683,-0.47622261848345926,0.30025133370954943,6.103508204110609,1.503348183082306,1.1385338745111377
2013,NCEP,10,2707.197486937163,-0.1611192435848817,1.2886646955300411,0.19347644032009376,-0.385686726453903,0.5835199574946455,-0.6335832823304757,0.15590243100231715,-0.2501345595484671,9.312556352980309,0.7037270187683773
2013,NCEP,11,2707.197486937163,-0.1611192435848817,0.24532729277972223,-0.65537328409198,-0.385686726453903,2.328437820365967,-0.7921275505843097,-0.25017372108739244,0.11715805369635766,14.644292024963034,-2.7238044911428445
