year,model,init_month,yield [kg/ha],yield anomaly [%],tmeanrain_santa fe san justo_10,tmeanrain_santa fe san justo_11,rainsquared_buenos aires lujan_9,rainsquared_buenos aires villarino_11,tmeanrain_buenos aires hipolito yrigoyen_11,tmeansquared_buenos aires hipolito yrigoyen_11,tmeanrain_buenos aires coronel suarez_11,rainsquared_buenos aires hipolito yrigoyen_9,rainsquared_santa fe san justo_11,tmeanrain_buenos aires coronel suarez_9
2006,CWB,11,2802.152801978974,0.0575983895925021,1.3587110864711665,-0.7113472684576837,0.458183380338665,-0.6498942216331416,0.4155310329049725,-0.46477344979021545,0.4085595135730435,-0.3604402373570725,-0.5373197491540089,-0.1706204123474922
2007,CWB,9,2964.9821230781013,0.0901024788182954,0.1952493146865205,0.16391915937805834,-0.9931156931267356,-0.09010798208893754,-0.24357007832632827,-0.25445579516396716,-0.42839239221253755,-0.37289800488534325,-0.8625840852692267,-0.5289701724854408
2007,CWB,10,2964.9821230781013,0.0901024788182954,0.45923873733222687,-0.7082142344807241,-0.596446980364085,-0.1487715482736969,-0.9564613528426066,3.271796896256086,-1.284596235269069,0.7105837240429327,-0.5008812601133732,2.729654891354972
2007,CWB,11,2964.9821230781013,0.0901024788182954,0.126191709340691,-0.03928764779875793,-0.596446980364085,-0.24127096984404514,0.2628971492980319,-0.4888407766823351,0.28588819888213735,0.7105837240429327,-0.6619173006433429,2.729654891354972
2008,CWB,9,2024.453890851962,-0.2906591931618024,-0.7561157052665457,1.0908193186390707,-0.9935351135921378,-0.5251440599017503,0.15661945153959586,-0.38901853961144667,0.022705552567770255,-0.4249913374379409,0.04739308772898639,0.05630172304027988
2008,CWB,10,2024.453890851962,-0.2906591931618024,0.06832420711720319,-1.1654735161976733,1.9936202209041065,0.3622530614464948,-1.6344773378875612,2.743648998525588,-1.865413266446397,-0.8178796132359357,-0.6009549616792994,0.4565841532547192
2008,CWB,11,2024.453890851962,-0.2906591931618024,0.020621513184706,1.0560787519321284,1.9936202209041065,-0.7591661356327313,-0.24529793969347055,0.13356839776646756,-0.4454953574566424,-0.8178796132359357,-0.6772363126914119,0.4565841532547192
2009,CWB,9,2970.2970292832338,0.0808897038617558,0.48924230401573515,0.7054694115880474,-0.06873234102751498,-0.857001511101131,0.3320826443087632,-0.49272808409251123,0.34528516816658317,1.11081323112776,2.8940449649562003,3.776465188121807
2009,CWB,10,2970.2970292832338,0.0808897038617558,0.3737490551769963,0.11662226721266597,-0.7467021782116707,-0.8585765977048021,0.34352668602250686,-0.673186258626232,0.2103517608067279,1.7056802288492474,-0.6578325244805914,-0.4620885654045764
2009,CWB,11,2970.2970292832338,0.0808897038617558,-0.8197007464550157,0.9212291684008794,-0.7467021782116707,-0.6775729765620182,0.5229665168945892,-0.41297243044117243,0.5736187128801143,1.7056802288492474,-0.4450519175300656,-0.4620885654045764
2010,CWB,9,3933.646838880765,0.395993458774148,0.31442454831868794,-0.49140848092704814,-0.2855795357253009,-0.20046117064637858,0.7476987615119878,1.251162594724945,0.6875650542741963,-0.20964778549615884,-0.3630806018698858,1.0508696858249504
