year,province,municipality,name,production [t],harvested area [ha],yield [kg/ha]
2001,buenos aires,carlos casares,buenos aires carlos casares,23700,9100,2604
2002,buenos aires,carlos casares,buenos aires carlos casares,25300,11000,2300
2003,buenos aires,carlos casares,buenos aires carlos casares,32880,9393,3500
2004,buenos aires,carlos casares,buenos aires carlos casares,33860,9675,3500
2005,buenos aires,carlos casares,buenos aires carlos casares,28920,7400,3908
2006,buenos aires,carlos casares,buenos aires carlos casares,35970,9000,3997
2007,buenos aires,carlos casares,buenos aires carlos casares,42560,10900,3905
2008,buenos aires,carlos casares,buenos aires carlos casares,28430,11700,2430
2009,buenos aires,carlos casares,buenos aires carlos casares,16450,7240,2272
2010,buenos aires,carlos casares,buenos aires carlos casares,33330,8300,4016
2011,buenos aires,carlos casares,buenos aires carlos casares,29510,9200,3208
2012,buenos aires,carlos casares,buenos aires carlos casares,6150,3000,2050
2013,buenos aires,carlos casares,buenos aires carlos casares,17110,5300,3228
2014,buenos aires,carlos casares,buenos aires carlos casares,43080,15300,2816
2015,buenos aires,carlos casares,buenos aires carlos casares,59850,17100,3500
2016,buenos aires,carlos casares,buenos aires carlos casares,116850,23370,5000
2017,buenos aires,carlos casares,buenos aires carlos casares,72480,15100,4800
2018,buenos aires,carlos casares,buenos aires carlos casares,100559,17642,5700
2019,buenos aires,carlos casares,buenos aires carlos casares,79200,24000,3300
2020,buenos aires,carlos casares,buenos aires carlos casares,112970,24554,4601
2021,buenos aires,carlos casares,buenos aires carlos casares,140309,29853,4700
1969,buenos aires,carlos tejedor,buenos aires carlos tejedor,43400,31000,1400
1970,buenos aires,carlos tejedor,buenos aires carlos tejedor,20000,14000,1429
1971,buenos aires,carlos tejedor,buenos aires carlos tejedor,12100,11000,1100
1972,buenos aires,carlos tejedor,buenos aires carlos tejedor,18100,10500,1724
1973,buenos aires,carlos tejedor,buenos aires carlos tejedor,13500,7500,1800
1974,buenos aires,carlos tejedor,buenos aires carlos tejedor,25800,15200,1697
1975,buenos aires,carlos tejedor,buenos aires carlos tejedor,38000,19000,2000
1976,buenos aires,carlos tejedor,buenos aires carlos tejedor,49400,26000,1900
1977,buenos aires,carlos tejedor,buenos aires carlos tejedor,22000,15000,1467
1978,buenos aires,carlos tejedor,buenos aires carlos tejedor,37000,18500,2000
1979,buenos aires,carlos tejedor,buenos aires carlos tejedor,40000,19000,2105
1980,buenos aires,carlos tejedor,buenos aires carlos tejedor,30000,21000,1429
1981,buenos aires,carlos tejedor,buenos aires carlos tejedor,37500,25000,1500
1982,buenos aires,carlos tejedor,buenos aires carlos tejedor,70770,33700,2100
1983,buenos aires,carlos tejedor,buenos aires carlos tejedor,57000,28500,2000
1984,buenos aires,carlos tejedor,buenos aires carlos tejedor,50000,20000,2500
1985,buenos aires,carlos tejedor,buenos aires carlos tejedor,27200,17000,1600
1986,buenos aires,carlos tejedor,buenos aires carlos tejedor,29800,15800,1886
1987,buenos aires,carlos tejedor,buenos aires carlos tejedor,8400,5800,1448
1988,buenos aires,carlos tejedor,buenos aires carlos tejedor,22000,10000,2200
1989,buenos aires,carlos tejedor,buenos aires carlos tejedor,23000,13400,1716
1990,buenos aires,carlos tejedor,buenos aires carlos tejedor,48400,22000,2200
1991,buenos aires,carlos tejedor,buenos aires carlos tejedor,29400,14000,2100
1992,buenos aires,carlos tejedor,buenos aires carlos tejedor,23600,15700,1503
1993,buenos aires,carlos tejedor,buenos aires carlos tejedor,38000,19000,2000
1994,buenos aires,carlos tejedor,buenos aires carlos tejedor,44500,17100,2602
1995,buenos aires,carlos tejedor,buenos aires carlos tejedor,42600,19800,2152
1996,buenos aires,carlos tejedor,buenos aires carlos tejedor,65400,32700,2000
1997,buenos aires,carlos tejedor,buenos aires carlos tejedor,38800,15500,2503
1998,buenos aires,carlos tejedor,buenos aires carlos tejedor,32000,12000,2667
1999,buenos aires,carlos tejedor,buenos aires carlos tejedor,31000,11600,2672
2000,buenos aires,carlos tejedor,buenos aires carlos tejedor,14800,6700,2209
2001,buenos aires,carlos tejedor,buenos aires carlos tejedor,8800,3500,2514
2002,buenos aires,carlos tejedor,buenos aires carlos tejedor,15600,6500,2400
2003,buenos aires,carlos tejedor,buenos aires carlos tejedor,18550,5985,3099
2004,buenos aires,carlos tejedor,buenos aires carlos tejedor,24620,7943,3100
2005,buenos aires,carlos tejedor,buenos aires carlos tejedor,21830,5900,3700
2006,buenos aires,carlos tejedor,buenos aires carlos tejedor,50310,12900,3900
2007,buenos aires,carlos tejedor,buenos aires carlos tejedor,54740,14400,3801
2008,buenos aires,carlos tejedor,buenos aires carlos tejedor,36600,15200,2408
2009,buenos aires,carlos tejedor,buenos aires carlos tejedor,14690,7660,1918
2010,buenos aires,carlos tejedor,buenos aires carlos tejedor,38880,9900,3927
2011,buenos aires,carlos tejedor,buenos aires carlos tejedor,37850,11800,3208
2012,buenos aires,carlos tejedor,buenos aires carlos tejedor,14440,7100,2034
2013,buenos aires,carlos tejedor,buenos aires carlos tejedor,40970,12400,3304
2014,buenos aires,carlos tejedor,buenos aires carlos tejedor,71580,25550,2802
2015,buenos aires,carlos tejedor,buenos aires carlos tejedor,29950,9360,3200
2016,buenos aires,carlos tejedor,buenos aires carlos tejedor,116560,24800,4700
2017,buenos aires,carlos tejedor,buenos aires carlos tejedor,37600,8000,4700
2018,buenos aires,carlos tejedor,buenos aires carlos tejedor,101794,23673,4300
2019,buenos aires,carlos tejedor,buenos aires carlos tejedor,69862,26870,2600
2020,buenos aires,carlos tejedor,buenos aires carlos tejedor,125400,28500,4400
2021,buenos aires,carlos tejedor,buenos aires carlos tejedor,111479,23719,4700
1969,buenos aires,carmen de areco,buenos aires carmen de areco,5610,3300,1700
1970,buenos aires,carmen de areco,buenos aires carmen de areco,4300,2000,2150
1971,buenos aires,carmen de areco,buenos aires carmen de areco,4800,3000,1600
1972,buenos aires,carmen de areco,buenos aires carmen de areco,6820,3100,2200
1973,buenos aires,carmen de areco,buenos aires carmen de areco,2600,2000,1300
1974,buenos aires,carmen de areco,buenos aires carmen de areco,4000,2000,2000
1975,buenos aires,carmen de areco,buenos aires carmen de areco,6080,3200,1900
1976,buenos aires,carmen de areco,buenos aires carmen de areco,4950,3300,1500
1977,buenos aires,carmen de areco,buenos aires carmen de areco,4650,2800,1661
1978,buenos aires,carmen de areco,buenos aires carmen de areco,5950,2850,2088
1979,buenos aires,carmen de areco,buenos aires carmen de areco,8100,3450,2348
1980,buenos aires,carmen de areco,buenos aires carmen de areco,13000,5000,2600
1981,buenos aires,carmen de areco,buenos aires carmen de areco,14000,7000,2000
1982,buenos aires,carmen de areco,buenos aires carmen de areco,18000,6350,2835
1983,buenos aires,carmen de areco,buenos aires carmen de areco,11970,6300,1900
1984,buenos aires,carmen de areco,buenos aires carmen de areco,14400,6000,2400
1985,buenos aires,carmen de areco,buenos aires carmen de areco,5925,3950,1500
1986,buenos aires,carmen de areco,buenos aires carmen de areco,7100,3600,1972
1987,buenos aires,carmen de areco,buenos aires carmen de areco,14000,7000,2000
1988,buenos aires,carmen de areco,buenos aires carmen de areco,10800,6000,1800
1989,buenos aires,carmen de areco,buenos aires carmen de areco,11300,4500,2511
1990,buenos aires,carmen de areco,buenos aires carmen de areco,12000,5200,2308
1991,buenos aires,carmen de areco,buenos aires carmen de areco,6200,3100,2000
1992,buenos aires,carmen de areco,buenos aires carmen de areco,12600,4200,3000
1993,buenos aires,carmen de areco,buenos aires carmen de areco,6700,3500,1914
1994,buenos aires,carmen de areco,buenos aires carmen de areco,6500,2500,2600
1995,buenos aires,carmen de areco,buenos aires carmen de areco,12000,4000,3000
1996,buenos aires,carmen de areco,buenos aires carmen de areco,28000,8000,3500
1997,buenos aires,carmen de areco,buenos aires carmen de areco,19700,6800,2897
1998,buenos aires,carmen de areco,buenos aires carmen de areco,14500,5000,2900
1999,buenos aires,carmen de areco,buenos aires carmen de areco,19600,6500,3015
2000,buenos aires,carmen de areco,buenos aires carmen de areco,16500,5500,3000
2001,buenos aires,carmen de areco,buenos aires carmen de areco,9000,4500,2000
2002,buenos aires,carmen de areco,buenos aires carmen de areco,7000,3500,2000
2003,buenos aires,carmen de areco,buenos aires carmen de areco,10080,2800,3600
2004,buenos aires,carmen de areco,buenos aires carmen de areco,13300,3500,3800
2005,buenos aires,carmen de areco,buenos aires carmen de areco,11400,3000,3800
2006,buenos aires,carmen de areco,buenos aires carmen de areco,13940,3400,4100
2007,buenos aires,carmen de areco,buenos aires carmen de areco,14960,3400,4400
2008,buenos aires,carmen de areco,buenos aires carmen de areco,7020,2700,2600
2009,buenos aires,carmen de areco,buenos aires carmen de areco,32800,7560,4339
2010,buenos aires,carmen de areco,buenos aires carmen de areco,38730,7500,5164
2011,buenos aires,carmen de areco,buenos aires carmen de areco,38220,7800,4900
2012,buenos aires,carmen de areco,buenos aires carmen de areco,18975,5750,3300
2013,buenos aires,carmen de areco,buenos aires carmen de areco,23940,6300,3800
2014,buenos aires,carmen de areco,buenos aires carmen de areco,19000,5000,3800
2015,buenos aires,carmen de areco,buenos aires carmen de areco,27890,6640,4200
2016,buenos aires,carmen de areco,buenos aires carmen de areco,35861,7630,4700
2017,buenos aires,carmen de areco,buenos aires carmen de areco,36428,8095,4500
2018,buenos aires,carmen de areco,buenos aires carmen de areco,71520,14900,4800
2019,buenos aires,carmen de areco,buenos aires carmen de areco,50920,13400,3800
2020,buenos aires,carmen de areco,buenos aires carmen de areco,42000,12000,3500
2021,buenos aires,carmen de areco,buenos aires carmen de areco,58750,12500,4700
1969,buenos aires,chacabuco,buenos aires chacabuco,29625,19750,1500
1970,buenos aires,chacabuco,buenos aires chacabuco,23000,12000,1917
1971,buenos aires,chacabuco,buenos aires chacabuco,20050,13500,1485
1972,buenos aires,chacabuco,buenos aires chacabuco,31900,14500,2200
1973,buenos aires,chacabuco,buenos aires chacabuco,11200,8000,1400
1974,buenos aires,chacabuco,buenos aires chacabuco,24000,12000,2000
1975,buenos aires,chacabuco,buenos aires chacabuco,31100,15000,2073
1976,buenos aires,chacabuco,buenos aires chacabuco,30600,18000,1700
1977,buenos aires,chacabuco,buenos aires chacabuco,22400,13200,1697
1978,buenos aires,chacabuco,buenos aires chacabuco,17000,8500,2000
1979,buenos aires,chacabuco,buenos aires chacabuco,27360,11400,2400
1980,buenos aires,chacabuco,buenos aires chacabuco,47000,18820,2497
1981,buenos aires,chacabuco,buenos aires chacabuco,53000,25000,2120
1982,buenos aires,chacabuco,buenos aires chacabuco,70000,25000,2800
1983,buenos aires,chacabuco,buenos aires chacabuco,66000,33000,2000
1984,buenos aires,chacabuco,buenos aires chacabuco,72600,33000,2200
1985,buenos aires,chacabuco,buenos aires chacabuco,33600,23000,1461
1986,buenos aires,chacabuco,buenos aires chacabuco,59800,28500,2098
1987,buenos aires,chacabuco,buenos aires chacabuco,40700,19000,2142
1988,buenos aires,chacabuco,buenos aires chacabuco,61250,24500,2500
1989,buenos aires,chacabuco,buenos aires chacabuco,72900,27000,2700
1990,buenos aires,chacabuco,buenos aires chacabuco,115000,44000,2614
1991,buenos aires,chacabuco,buenos aires chacabuco,60000,30000,2000
1992,buenos aires,chacabuco,buenos aires chacabuco,112100,38000,2950
1993,buenos aires,chacabuco,buenos aires chacabuco,50900,28300,1799
1994,buenos aires,chacabuco,buenos aires chacabuco,102600,38000,2700
1995,buenos aires,chacabuco,buenos aires chacabuco,132200,42000,3148
1996,buenos aires,chacabuco,buenos aires chacabuco,156000,52000,3000
1997,buenos aires,chacabuco,buenos aires chacabuco,132700,47400,2800
1998,buenos aires,chacabuco,buenos aires chacabuco,105000,36800,2853
1999,buenos aires,chacabuco,buenos aires chacabuco,145500,45000,3233
2000,buenos aires,chacabuco,buenos aires chacabuco,126000,42000,3000
2001,buenos aires,chacabuco,buenos aires chacabuco,63000,35000,1800
2002,buenos aires,chacabuco,buenos aires chacabuco,52500,25000,2100
2003,buenos aires,chacabuco,buenos aires chacabuco,64600,19000,3400
2004,buenos aires,chacabuco,buenos aires chacabuco,88800,24000,3700
2005,buenos aires,chacabuco,buenos aires chacabuco,84000,20000,4200
2006,buenos aires,chacabuco,buenos aires chacabuco,94300,23000,4100
2007,buenos aires,chacabuco,buenos aires chacabuco,98900,23000,4300
2008,buenos aires,chacabuco,buenos aires chacabuco,52490,18100,2900
2009,buenos aires,chacabuco,buenos aires chacabuco,125110,26460,4728
2010,buenos aires,chacabuco,buenos aires chacabuco,139620,26000,5370
2011,buenos aires,chacabuco,buenos aires chacabuco,111000,22200,5000
2012,buenos aires,chacabuco,buenos aires chacabuco,56000,16000,3500
2013,buenos aires,chacabuco,buenos aires chacabuco,79200,17600,4500
2014,buenos aires,chacabuco,buenos aires chacabuco,53300,13000,4100
2015,buenos aires,chacabuco,buenos aires chacabuco,59130,13140,4500
2016,buenos aires,chacabuco,buenos aires chacabuco,82800,17250,4800
2017,buenos aires,chacabuco,buenos aires chacabuco,113448,23635,4800
2018,buenos aires,chacabuco,buenos aires chacabuco,144000,30000,4800
2019,buenos aires,chacabuco,buenos aires chacabuco,133250,32500,4100
2020,buenos aires,chacabuco,buenos aires chacabuco,184800,42000,4400
2021,buenos aires,chacabuco,buenos aires chacabuco,189200,43000,4400
1969,buenos aires,chascomus,buenos aires chascomus,7500,5000,1500
1970,buenos aires,chascomus,buenos aires chascomus,10000,6000,1667
1971,buenos aires,chascomus,buenos aires chascomus,7200,4500,1600
1972,buenos aires,chascomus,buenos aires chascomus,5250,3500,1500
1973,buenos aires,chascomus,buenos aires chascomus,4250,3500,1214
1974,buenos aires,chascomus,buenos aires chascomus,5900,4000,1475
1975,buenos aires,chascomus,buenos aires chascomus,5700,3500,1629
1976,buenos aires,chascomus,buenos aires chascomus,8550,5500,1555
1977,buenos aires,chascomus,buenos aires chascomus,5600,4000,1400
1978,buenos aires,chascomus,buenos aires chascomus,3000,2000,1500
1979,buenos aires,chascomus,buenos aires chascomus,5000,2900,1724
1980,buenos aires,chascomus,buenos aires chascomus,1300,800,1625
1981,buenos aires,chascomus,buenos aires chascomus,2300,1350,1704
1982,buenos aires,chascomus,buenos aires chascomus,3060,1800,1700
1983,buenos aires,chascomus,buenos aires chascomus,3420,1800,1900
1984,buenos aires,chascomus,buenos aires chascomus,1900,1100,1727
1985,buenos aires,chascomus,buenos aires chascomus,1760,1600,1100
1986,buenos aires,chascomus,buenos aires chascomus,2840,1400,2029
1987,buenos aires,chascomus,buenos aires chascomus,2900,1700,1706
1988,buenos aires,chascomus,buenos aires chascomus,2900,1700,1706
1990,buenos aires,chascomus,buenos aires chascomus,8400,4200,2000
1991,buenos aires,chascomus,buenos aires chascomus,5500,2500,2200
1992,buenos aires,chascomus,buenos aires chascomus,5200,2000,2600
1993,buenos aires,chascomus,buenos aires chascomus,1500,1000,1500
1994,buenos aires,chascomus,buenos aires chascomus,17400,6000,2900
1995,buenos aires,chascomus,buenos aires chascomus,15000,6000,2500
1996,buenos aires,chascomus,buenos aires chascomus,26900,8400,3202
1997,buenos aires,chascomus,buenos aires chascomus,14800,5900,2508
1998,buenos aires,chascomus,buenos aires chascomus,13500,4100,3293
1999,buenos aires,chascomus,buenos aires chascomus,18000,5500,3273
2000,buenos aires,chascomus,buenos aires chascomus,11900,4400,2705
2001,buenos aires,chascomus,buenos aires chascomus,5000,2900,1724
2002,buenos aires,chascomus,buenos aires chascomus,5680,2840,2000
2003,buenos aires,chascomus,buenos aires chascomus,12940,3594,3600
2004,buenos aires,chascomus,buenos aires chascomus,15910,4300,3700
2005,buenos aires,chascomus,buenos aires chascomus,18860,4600,4100
2006,buenos aires,chascomus,buenos aires chascomus,21500,5000,4300
2007,buenos aires,chascomus,buenos aires chascomus,18700,5500,3400
2008,buenos aires,chascomus,buenos aires chascomus,12000,4000,3000
2009,buenos aires,chascomus,buenos aires chascomus,13420,2760,4862
2010,buenos aires,chascomus,buenos aires chascomus,12390,3000,4130
2011,buenos aires,chascomus,buenos aires chascomus,16800,4000,4200
2012,buenos aires,chascomus,buenos aires chascomus,4625,1850,2500
2013,buenos aires,chascomus,buenos aires chascomus,7980,2100,3800
2014,buenos aires,chascomus,buenos aires chascomus,9860,2900,3400
2015,buenos aires,chascomus,buenos aires chascomus,5210,2082,2502
2016,buenos aires,chascomus,buenos aires chascomus,24912,6920,3600
2017,buenos aires,chascomus,buenos aires chascomus,16272,3390,4800
2018,buenos aires,chascomus,buenos aires chascomus,30873,7530,4100
2019,buenos aires,chascomus,buenos aires chascomus,32370,8300,3900
2020,buenos aires,chascomus,buenos aires chascomus,31540,8300,3800
2021,buenos aires,chascomus,buenos aires chascomus,56810,14950,3800
1969,buenos aires,chivilcoy,buenos aires chivilcoy,51000,30000,1700
1970,buenos aires,chivilcoy,buenos aires chivilcoy,39000,22500,1733
1971,buenos aires,chivilcoy,buenos aires chivilcoy,36800,23000,1600
1972,buenos aires,chivilcoy,buenos aires chivilcoy,52500,24450,2147
1973,buenos aires,chivilcoy,buenos aires chivilcoy,11200,7000,1600
1974,buenos aires,chivilcoy,buenos aires chivilcoy,17400,8700,2000
1975,buenos aires,chivilcoy,buenos aires chivilcoy,46000,23000,2000
1976,buenos aires,chivilcoy,buenos aires chivilcoy,34500,15000,2300
1977,buenos aires,chivilcoy,buenos aires chivilcoy,12600,9400,1340
1978,buenos aires,chivilcoy,buenos aires chivilcoy,16400,8200,2000
1979,buenos aires,chivilcoy,buenos aires chivilcoy,23200,9900,2343
1980,buenos aires,chivilcoy,buenos aires chivilcoy,72000,26640,2703
1981,buenos aires,chivilcoy,buenos aires chivilcoy,62500,27000,2315
1982,buenos aires,chivilcoy,buenos aires chivilcoy,81000,30000,2700
1983,buenos aires,chivilcoy,buenos aires chivilcoy,72000,30000,2400
1984,buenos aires,chivilcoy,buenos aires chivilcoy,52500,25000,2100
1985,buenos aires,chivilcoy,buenos aires chivilcoy,29800,21300,1399
1986,buenos aires,chivilcoy,buenos aires chivilcoy,47400,23000,2061
1987,buenos aires,chivilcoy,buenos aires chivilcoy,55800,28000,1993
1988,buenos aires,chivilcoy,buenos aires chivilcoy,69000,30000,2300
1989,buenos aires,chivilcoy,buenos aires chivilcoy,72000,30000,2400
1990,buenos aires,chivilcoy,buenos aires chivilcoy,107300,37000,2900
1991,buenos aires,chivilcoy,buenos aires chivilcoy,70000,25000,2800
1992,buenos aires,chivilcoy,buenos aires chivilcoy,98600,34000,2900
1993,buenos aires,chivilcoy,buenos aires chivilcoy,66000,30000,2200
1994,buenos aires,chivilcoy,buenos aires chivilcoy,110900,33600,3301
1995,buenos aires,chivilcoy,buenos aires chivilcoy,111000,37000,3000
1996,buenos aires,chivilcoy,buenos aires chivilcoy,171000,45000,3800
1997,buenos aires,chivilcoy,buenos aires chivilcoy,140300,42500,3301
1998,buenos aires,chivilcoy,buenos aires chivilcoy,120000,31000,3871
1999,buenos aires,chivilcoy,buenos aires chivilcoy,125500,34000,3691
2000,buenos aires,chivilcoy,buenos aires chivilcoy,66000,30000,2200
2001,buenos aires,chivilcoy,buenos aires chivilcoy,51500,28500,1807
2002,buenos aires,chivilcoy,buenos aires chivilcoy,49600,24800,2000
2003,buenos aires,chivilcoy,buenos aires chivilcoy,72800,20800,3500
2004,buenos aires,chivilcoy,buenos aires chivilcoy,90300,21000,4300
2005,buenos aires,chivilcoy,buenos aires chivilcoy,72000,18000,4000
2006,buenos aires,chivilcoy,buenos aires chivilcoy,80500,17500,4600
2007,buenos aires,chivilcoy,buenos aires chivilcoy,80500,23000,3500
2008,buenos aires,chivilcoy,buenos aires chivilcoy,51100,18250,2800
2009,buenos aires,chivilcoy,buenos aires chivilcoy,79740,20190,3949
2010,buenos aires,chivilcoy,buenos aires chivilcoy,96040,18600,5163
2011,buenos aires,chivilcoy,buenos aires chivilcoy,77620,17640,4400
2012,buenos aires,chivilcoy,buenos aires chivilcoy,29250,9750,3000
2013,buenos aires,chivilcoy,buenos aires chivilcoy,48000,12000,4000
2014,buenos aires,chivilcoy,buenos aires chivilcoy,34850,8500,4100
2015,buenos aires,chivilcoy,buenos aires chivilcoy,41720,10430,4000
2016,buenos aires,chivilcoy,buenos aires chivilcoy,104958,24990,4200
2017,buenos aires,chivilcoy,buenos aires chivilcoy,122092,30523,4000
2018,buenos aires,chivilcoy,buenos aires chivilcoy,111208,27802,4000
2019,buenos aires,chivilcoy,buenos aires chivilcoy,114300,25400,4500
2020,buenos aires,chivilcoy,buenos aires chivilcoy,138968,33092,4199
2021,buenos aires,chivilcoy,buenos aires chivilcoy,183868,37525,4900
1969,buenos aires,colon,buenos aires colon,8850,5900,1500
1970,buenos aires,colon,buenos aires colon,9000,4500,2000
1971,buenos aires,colon,buenos aires colon,6300,4500,1400
1972,buenos aires,colon,buenos aires colon,10000,5000,2000
1973,buenos aires,colon,buenos aires colon,4900,3500,1400
1974,buenos aires,colon,buenos aires colon,9000,4500,2000
1975,buenos aires,colon,buenos aires colon,15200,8000,1900
1976,buenos aires,colon,buenos aires colon,13600,8000,1700
1977,buenos aires,colon,buenos aires colon,8700,5650,1540
1978,buenos aires,colon,buenos aires colon,13000,5200,2500
1979,buenos aires,colon,buenos aires colon,16300,7000,2329
1980,buenos aires,colon,buenos aires colon,30000,12000,2500
1981,buenos aires,colon,buenos aires colon,32000,14000,2286
1982,buenos aires,colon,buenos aires colon,47600,17000,2800
1983,buenos aires,colon,buenos aires colon,25050,16700,1500
1984,buenos aires,colon,buenos aires colon,39100,17000,2300
1985,buenos aires,colon,buenos aires colon,25600,16000,1600
1986,buenos aires,colon,buenos aires colon,28500,14200,2007
1987,buenos aires,colon,buenos aires colon,33300,14700,2265
1988,buenos aires,colon,buenos aires colon,40000,17000,2353
1989,buenos aires,colon,buenos aires colon,48400,22000,2200
1990,buenos aires,colon,buenos aires colon,75800,31600,2399
1991,buenos aires,colon,buenos aires colon,49000,23900,2050
1992,buenos aires,colon,buenos aires colon,72000,24000,3000
1993,buenos aires,colon,buenos aires colon,48500,27700,1751
1994,buenos aires,colon,buenos aires colon,63800,22000,2900
1995,buenos aires,colon,buenos aires colon,57100,23800,2399
1996,buenos aires,colon,buenos aires colon,78200,23000,3400
1997,buenos aires,colon,buenos aires colon,50500,20200,2500
1998,buenos aires,colon,buenos aires colon,52000,17000,3059
1999,buenos aires,colon,buenos aires colon,63100,19000,3321
2000,buenos aires,colon,buenos aires colon,35000,14000,2500
2001,buenos aires,colon,buenos aires colon,39000,16000,2438
2002,buenos aires,colon,buenos aires colon,22560,9400,2400
2003,buenos aires,colon,buenos aires colon,31020,9400,3300
2004,buenos aires,colon,buenos aires colon,30940,9100,3400
2005,buenos aires,colon,buenos aires colon,33300,9000,3700
2006,buenos aires,colon,buenos aires colon,38000,9500,4000
2007,buenos aires,colon,buenos aires colon,45680,10150,4500
2008,buenos aires,colon,buenos aires colon,21710,8350,2600
2009,buenos aires,colon,buenos aires colon,26475,5010,5284
2010,buenos aires,colon,buenos aires colon,23783,4900,4854
2011,buenos aires,colon,buenos aires colon,26215,5350,4900
2012,buenos aires,colon,buenos aires colon,14355,4350,3300
2013,buenos aires,colon,buenos aires colon,22310,4850,4600
2014,buenos aires,colon,buenos aires colon,22620,5800,3900
2015,buenos aires,colon,buenos aires colon,43955,10222,4300
2016,buenos aires,colon,buenos aires colon,55742,11860,4700
2017,buenos aires,colon,buenos aires colon,52762,11470,4600
2018,buenos aires,colon,buenos aires colon,73339,15279,4800
2019,buenos aires,colon,buenos aires colon,70137,16311,4300
2020,buenos aires,colon,buenos aires colon,65200,16300,4000
2021,buenos aires,colon,buenos aires colon,71558,14031,5100
1969,buenos aires,coronel de marina l rosales,buenos aires coronel de marina l rosales,60000,48000,1250
1970,buenos aires,coronel de marina l rosales,buenos aires coronel de marina l rosales,15600,26000,600
1971,buenos aires,coronel de marina l rosales,buenos aires coronel de marina l rosales,47000,45000,1044
1972,buenos aires,coronel de marina l rosales,buenos aires coronel de marina l rosales,84000,54000,1556
1973,buenos aires,coronel de marina l rosales,buenos aires coronel de marina l rosales,58000,48000,1208
1974,buenos aires,coronel de marina l rosales,buenos aires coronel de marina l rosales,27000,30800,877
1975,buenos aires,coronel de marina l rosales,buenos aires coronel de marina l rosales,52800,48000,1100
1976,buenos aires,coronel de marina l rosales,buenos aires coronel de marina l rosales,112699,62900,1792
1977,buenos aires,coronel de marina l rosales,buenos aires coronel de marina l rosales,33000,37500,880
1978,buenos aires,coronel de marina l rosales,buenos aires coronel de marina l rosales,81140,60000,1352
1979,buenos aires,coronel de marina l rosales,buenos aires coronel de marina l rosales,40000,39000,1026
1980,buenos aires,coronel de marina l rosales,buenos aires coronel de marina l rosales,50000,40000,1250
1981,buenos aires,coronel de marina l rosales,buenos aires coronel de marina l rosales,17250,35000,493
1982,buenos aires,coronel de marina l rosales,buenos aires coronel de marina l rosales,120000,61300,1958
1983,buenos aires,coronel de marina l rosales,buenos aires coronel de marina l rosales,101550,67700,1500
1984,buenos aires,coronel de marina l rosales,buenos aires coronel de marina l rosales,108300,54150,2000
1985,buenos aires,coronel de marina l rosales,buenos aires coronel de marina l rosales,89810,49900,1800
1986,buenos aires,coronel de marina l rosales,buenos aires coronel de marina l rosales,38800,30500,1272
1987,buenos aires,coronel de marina l rosales,buenos aires coronel de marina l rosales,40700,30000,1357
1988,buenos aires,coronel de marina l rosales,buenos aires coronel de marina l rosales,27000,27000,1000
1989,buenos aires,coronel de marina l rosales,buenos aires coronel de marina l rosales,30000,32000,938
1990,buenos aires,coronel de marina l rosales,buenos aires coronel de marina l rosales,36400,28000,1300
1991,buenos aires,coronel de marina l rosales,buenos aires coronel de marina l rosales,35000,25000,1400
1992,buenos aires,coronel de marina l rosales,buenos aires coronel de marina l rosales,36800,24500,1502
1993,buenos aires,coronel de marina l rosales,buenos aires coronel de marina l rosales,42000,30000,1400
1994,buenos aires,coronel de marina l rosales,buenos aires coronel de marina l rosales,42900,33000,1300
1995,buenos aires,coronel de marina l rosales,buenos aires coronel de marina l rosales,9100,10100,901
1996,buenos aires,coronel de marina l rosales,buenos aires coronel de marina l rosales,74800,44000,1700
1997,buenos aires,coronel de marina l rosales,buenos aires coronel de marina l rosales,73200,35000,2091
1998,buenos aires,coronel de marina l rosales,buenos aires coronel de marina l rosales,35000,33300,1051
1999,buenos aires,coronel de marina l rosales,buenos aires coronel de marina l rosales,40000,31100,1286
2000,buenos aires,coronel de marina l rosales,buenos aires coronel de marina l rosales,68000,37000,1838
2001,buenos aires,coronel de marina l rosales,buenos aires coronel de marina l rosales,76000,41950,1812
2002,buenos aires,coronel de marina l rosales,buenos aires coronel de marina l rosales,71430,41500,1721
2003,buenos aires,coronel de marina l rosales,buenos aires coronel de marina l rosales,70200,42500,1652
2004,buenos aires,coronel de marina l rosales,buenos aires coronel de marina l rosales,87500,43000,2035
2005,buenos aires,coronel de marina l rosales,buenos aires coronel de marina l rosales,42405,38300,1107
2006,buenos aires,coronel de marina l rosales,buenos aires coronel de marina l rosales,63970,37350,1713
2007,buenos aires,coronel de marina l rosales,buenos aires coronel de marina l rosales,72820,36045,2020
2008,buenos aires,coronel de marina l rosales,buenos aires coronel de marina l rosales,22305,21950,1016
2009,buenos aires,coronel de marina l rosales,buenos aires coronel de marina l rosales,11680,14320,816
2010,buenos aires,coronel de marina l rosales,buenos aires coronel de marina l rosales,41551,21750,1910
2011,buenos aires,coronel de marina l rosales,buenos aires coronel de marina l rosales,12692,11760,1079
2012,buenos aires,coronel de marina l rosales,buenos aires coronel de marina l rosales,8638,6170,1400
2013,buenos aires,coronel de marina l rosales,buenos aires coronel de marina l rosales,27600,12000,2300
2014,buenos aires,coronel de marina l rosales,buenos aires coronel de marina l rosales,40932,19485,2101
2015,buenos aires,coronel de marina l rosales,buenos aires coronel de marina l rosales,36156,12920,2798
