year,model,init_month,yield [kg/ha],yield anomaly [%],tmeanrain_santa fe san justo_10,tmeanrain_santa fe san justo_11,rainsquared_buenos aires villarino_11,tmeansquared_buenos aires hipolito yrigoyen_11,tmeanrain_buenos aires hipolito yrigoyen_11,tmeanrain_buenos aires coronel suarez_11,rainsquared_buenos aires hipolito yrigoyen_9,rainsquared_santa fe san justo_11
2013,BOM,9,2707.197486937163,-0.1611192435848817,0.15225920189473216,0.07724756636916677,1.2370877143686692,-0.6079506641901236,1.099219813307373,1.0194248908003434,-0.6482394623759372,-0.7088296895359526
2013,BOM,10,2707.197486937163,-0.1611192435848817,-1.173227543721626,-0.43575844960889487,-0.4104231892839546,5.640091092430582,-2.115091768334173,-2.654958105840032,-0.6729714154471901,-0.6795691361955503
2013,BOM,11,2707.197486937163,-0.1611192435848817,-2.8333527119448627,-0.1712541559714303,0.43619670364448154,-0.6191226799807253,0.6713648521168469,0.9803839399042567,-0.6729714154471901,-0.6814262688211575
2014,BOM,9,2892.8454356606403,-0.0935090762133243,-0.40199515716312534,1.4150063388259528,-0.6919990603312286,-0.6164831927057274,0.5201190769644477,0.6305250132284361,0.3723427868104013,1.0641926971612625
2014,BOM,10,2892.8454356606403,-0.0935090762133243,-0.350905643075946,2.328969421017389,-0.6713929203525597,-0.6791585781692716,0.39962458069291273,0.4249953410114406,-0.6308703372614998,3.049862597523838
2014,BOM,11,2892.8454356606403,-0.0935090762133243,2.1462740030647893,-0.29210181181837447,-0.44868558795984936,-0.6942538597409854,0.42738163619147557,0.30493752549068076,-0.6308703372614998,-0.6551138404739766
2015,BOM,9,3101.367971827829,-0.0324093531892292,-0.12413682632488204,0.06681231749017012,0.08228076125691644,-0.08736904937263476,-0.6366771388596572,-1.311006426252711,0.7103116401793786,0.5012349365260556
2015,BOM,10,3101.367971827829,-0.0324093531892292,-0.36522296451896585,-3.0741402899526915,1.2319714826991923,1.1652011508829148,-1.5763680444789596,-2.022039026783235,-0.4527060648794895,0.3115799663945279
2015,BOM,11,3101.367971827829,-0.0324093531892292,-0.0938526659300671,-3.9415838079813255,1.219120944396676,1.8271943996724747,-5.457582902879502,-4.208092189884472,-0.4527060648794895,4.0587612773161
2016,BOM,9,3477.431893841902,0.0660093515389699,-1.9004255845772366,0.2852418962951846,-0.3753262264004406,-0.4776698256031771,0.2717102114894077,0.08446526066098202,-0.6794781210408756,-0.665020737926346
2016,BOM,10,3477.431893841902,0.0660093515389699,-0.5720980906679507,-0.8288810268406571,-0.5441122941547701,1.0007312545972622,0.7822698650330746,0.7101963864940135,-0.5523815362515582,-0.6027355346526876
2016,BOM,11,3477.431893841902,0.0660093515389699,0.0051942277094736,-1.3282645346478994,-0.21070495312833687,-0.5282330811093713,0.4124379139950903,0.32384861180183483,-0.5523815362515582,0.21015819470847885
1993,CCSM4,9,2037.439151033997,-0.0461708621216909,-0.24710418623415478,0.07224744739611991,0.31260672681539525,-0.6083880524169443,-0.0722737199543119,-0.5577622153824497,-0.5753348919524188,-0.488435200533015
1993,CCSM4,10,2037.439151033997,-0.0461708621216909,1.634280891166829,0.4106016822567306,-0.6265607040587751,-0.05801016686074095,1.0277222467109686,0.3951862156802082,-0.6725288681470262,-0.5454784958778726
1993,CCSM4,11,2037.439151033997,-0.0461708621216909,-2.503667083883825,-1.7413176456836794,-0.6410861904506411,-0.5789578330259265,0.33483843298566635,-0.14556768495859462,-0.6725288681470262,0.5904725590898717
1994,CCSM4,9,2185.741997507356,0.018137739947107,-0.1647851705998056,-0.2110358354263954,-0.6564804491800879,0.19319014148434244,-0.5613198732776644,0.1108106634082299,0.1037480109283846,-0.6828377707143576
1994,CCSM4,10,2185.741997507356,0.018137739947107,0.5500954968904971,0.016399209387047448,-0.26047314294841023,-0.500420921734937,0.7613413850823851,1.0842945048611214,-0.6495979428989257,-0.6969608401902952
1994,CCSM4,11,2185.741997507356,0.018137739947107,-1.3092868652250147,0.065274082914172,-0.6515672711333326,-0.5909163132171175,0.46951073194190734,0.5261748853709773,-0.6495979428989257,-0.7390184383733946
1995,CCSM4,9,1946.759707253285,-0.1022646938567331,-0.778946728411237,-0.3529097680227357,-0.6703530145164454,-0.6866609477587391,0.22403671282659368,0.39318216782379056,-0.33781875126499405,0.7107584402123374
