lat,lon,year,month,rain,tmean,geometry
-40,-63,2016,11,1.1517951707355678,19.40227539062502,POINT (-63 -40)
-39,-63,1993,9,0.7160885306075215,12.164580078125022,POINT (-63 -39)
-39,-63,1993,10,2.022627474507317,15.963242187500022,POINT (-63 -39)
-39,-63,1993,11,2.44045733474195,17.844960937500023,POINT (-63 -39)
-39,-63,1994,9,1.1420017440104857,12.862412109375022,POINT (-63 -39)
-39,-63,1994,10,1.2903841177467257,14.844462890625023,POINT (-63 -39)
-39,-63,1994,11,1.0017236933344975,21.081835937500024,POINT (-63 -39)
-39,-63,1995,9,0.2163761341944337,13.085634765625024,POINT (-63 -39)
-39,-63,1995,10,1.7394931602757424,15.440585937500023,POINT (-63 -39)
-39,-63,1995,11,2.2077880706638098,19.58440429687502,POINT (-63 -39)
-39,-63,1996,9,0.796496937982738,12.282753906250022,POINT (-63 -39)
