year,model,init_month,yield anomaly [%],tmeansquared_-38_-62_11,tmeanrain_-38_-62_11,rainsquared_-31_-61_11,rainsquared_-36_-62_9,tmeanrain_-31_-61_10
2000,CMCC,11,0.0431739046614468,0.4402853367129861,-0.5506941695153941,-0.007687179531959695,-0.6881089409014947,0.1864129160569184
2001,CMCC,6,-0.0860371438521511,-0.1051403966880244,-0.010473334706761827,0.11970477025768533,0.0011261299472787004,0.05752436909340668
2001,CMCC,7,-0.0860371438521511,-0.10092965405915659,0.02353863281930515,0.0783811932916507,0.005032616447442355,0.012569326219390985
2001,CMCC,8,-0.0860371438521511,-0.07835445610337827,-0.02066756775385299,0.07432834415412726,0.0067445658489633685,0.03772403806010299
2001,CMCC,9,-0.0860371438521511,-0.037391462892072486,-0.05329900163817449,0.07334126267740945,0.010097959651991065,0.026434546431972444
2001,CMCC,10,-0.0860371438521511,-0.05963473671879064,-0.1325866068866966,0.07410015909875357,1.113452003419,0.0027904788297582104
2001,CMCC,11,-0.0860371438521511,0.14319944290556455,-0.5249153857676456,0.07667995156601538,1.113452003419,-0.6196421087530761
2002,CMCC,6,-0.163047452419617,-0.11940440902544298,-0.07237742603654172,0.045458932431087555,-0.06874431103753142,-0.004029096466703405
2002,CMCC,7,-0.163047452419617,-0.12901836031721647,-0.04284056218495171,0.11792134798327066,0.14228221622584988,0.034824367458940776
2002,CMCC,8,-0.163047452419617,-0.12869083755115465,-0.036390317383036365,0.08208406890065109,0.2413111903374176,0.075085319696576
2002,CMCC,9,-0.163047452419617,-0.1313076031988484,-0.04047235391673842,0.08464241678869339,-0.06635131156958785,0.050960253753036686
2002,CMCC,10,-0.163047452419617,-0.10593979031681859,-0.03301692385750929,0.13144629352946027,-0.8386494780403717,-0.012911585781605455
