model,lat,lon,init_year,init_month,forecasted_year,forecasted_month,tmean,rain,province
JMA,-40.75,-62.75,1997,5,1997,9,11.430902099609398,1.3914507434265033,Buenos Aires
JMA,-40.75,-62.75,1997,5,1997,10,13.247613525390648,1.6052165318569678,Buenos Aires
JMA,-40.75,-62.75,1997,6,1997,6,10.019006347656273,2.3756774953653803,Buenos Aires
JMA,-40.75,-62.75,1997,6,1997,7,9.356011962890648,1.3934606927534787,Buenos Aires
JMA,-40.75,-62.75,1997,6,1997,8,10.298974609375023,1.3121488893830247,Buenos Aires
JMA,-40.75,-62.75,1997,6,1997,9,10.910363769531273,0.9877732730956268,Buenos Aires
JMA,-40.75,-62.75,1997,6,1997,10,13.111169433593773,1.2808965203703337,Buenos Aires
JMA,-40.75,-62.75,1997,6,1997,11,15.195062255859398,1.542672595746808,Buenos Aires
JMA,-40.75,-62.75,1997,7,1997,7,7.876947021484398,0.701093506449979,Buenos Aires
JMA,-40.75,-62.75,1997,7,1997,8,10.315637207031273,1.2283729438422597,Buenos Aires
JMA,-40.75,-62.75,1997,7,1997,9,10.993737792968773,1.0585234295490409,Buenos Aires
JMA,-40.75,-62.75,1997,7,1997,10,13.922082519531273,1.2745149217607832,Buenos Aires
JMA,-40.75,-62.75,1997,7,1997,11,16.710015869140648,1.486498264000602,Buenos Aires
JMA,-40.75,-62.75,1997,8,1997,8,9.819329833984398,0.9043853064838459,Buenos Aires
JMA,-40.75,-62.75,1997,8,1997,9,11.693414306640648,1.636608457715738,Buenos Aires
JMA,-40.75,-62.75,1997,8,1997,10,13.649468994140648,1.7235760236644637,Buenos Aires
JMA,-40.75,-62.75,1997,8,1997,11,16.429772949218773,0.9368305887846873,Buenos Aires
JMA,-40.75,-62.75,1997,9,1997,9,10.798577880859398,2.5508514647754055,Buenos Aires
JMA,-40.75,-62.75,1997,9,1997,10,13.526818847656273,1.3700401018468256,Buenos Aires
JMA,-40.75,-62.75,1997,9,1997,11,16.652673339843773,1.370917347003342,Buenos Aires
JMA,-40.75,-62.75,1997,10,1997,10,14.290124511718773,1.3246251762666361,Buenos Aires
JMA,-40.75,-62.75,1997,10,1997,11,16.499169921875023,1.1838839924394051,Buenos Aires
JMA,-40.75,-62.75,1997,11,1997,11,17.354211425781273,1.052664712517526,Buenos Aires
JMA,-40.75,-62.75,1998,4,1998,4,16.071374511718773,1.483457657514009,Buenos Aires
JMA,-40.75,-62.75,1998,4,1998,5,12.036431884765648,1.1818676776442771,Buenos Aires
JMA,-40.75,-62.75,1998,4,1998,6,9.951806640625023,0.6861634140875594,Buenos Aires
JMA,-40.75,-62.75,1998,4,1998,7,9.210351562500023,0.6249558848026027,Buenos Aires
JMA,-40.75,-62.75,1998,4,1998,8,9.757531738281273,1.2074744672929683,Buenos Aires
JMA,-40.75,-62.75,1998,4,1998,9,11.265618896484398,1.1796922990470193,Buenos Aires
JMA,-40.75,-62.75,1998,5,1998,5,12.863031005859398,1.0944852627403634,Buenos Aires
JMA,-40.75,-62.75,1998,5,1998,6,9.744683837890648,1.1963543090587336,Buenos Aires
JMA,-40.75,-62.75,1998,5,1998,7,8.550500488281273,1.2518973736064254,Buenos Aires
JMA,-40.75,-62.75,1998,5,1998,8,9.771142578125023,1.664081380852167,Buenos Aires
JMA,-40.75,-62.75,1998,5,1998,9,12.240472412109398,0.9720427969739376,Buenos Aires
JMA,-40.75,-62.75,1998,5,1998,10,14.602838134765648,0.6964447118207318,Buenos Aires
JMA,-40.75,-62.75,1998,6,1998,6,10.186822509765648,1.08424242256433,Buenos Aires
JMA,-40.75,-62.75,1998,6,1998,7,9.095269775390648,1.0650252391997128,Buenos Aires
JMA,-40.75,-62.75,1998,6,1998,8,9.934075927734398,0.8739063859763974,Buenos Aires
JMA,-40.75,-62.75,1998,6,1998,9,11.663079833984398,0.6212216187861941,Buenos Aires
JMA,-40.75,-62.75,1998,6,1998,10,14.675988769531273,1.1975709192313388,Buenos Aires
JMA,-40.75,-62.75,1998,6,1998,11,16.739801025390648,0.6267659837533301,Buenos Aires
JMA,-40.75,-62.75,1998,7,1998,7,10.316644287109398,0.5532883719183701,Buenos Aires
JMA,-40.75,-62.75,1998,7,1998,8,10.326074218750023,0.5672472642004323,Buenos Aires
JMA,-40.75,-62.75,1998,7,1998,9,11.765924072265648,0.8614712348276043,Buenos Aires
JMA,-40.75,-62.75,1998,7,1998,10,13.920220947265648,1.1693728200157238,Buenos Aires
JMA,-40.75,-62.75,1998,7,1998,11,17.731927490234398,0.5234260768816057,Buenos Aires
JMA,-40.75,-62.75,1998,8,1998,8,11.014733886718773,0.692932112968947,Buenos Aires
JMA,-40.75,-62.75,1998,8,1998,9,12.656640625000023,0.585942728577038,Buenos Aires
JMA,-40.75,-62.75,1998,8,1998,10,14.596582031250023,2.089240621785393,Buenos Aires
JMA,-40.75,-62.75,1998,8,1998,11,17.022302246093773,0.5756564888770299,Buenos Aires
JMA,-40.75,-62.75,1998,9,1998,9,11.559075927734398,1.0222158044825846,Buenos Aires
JMA,-40.75,-62.75,1998,9,1998,10,14.613183593750023,0.6672920686412454,Buenos Aires
JMA,-40.75,-62.75,1998,9,1998,11,17.059564208984398,1.1358924047755181,Buenos Aires
JMA,-40.75,-62.75,1998,10,1998,10,14.906884765625023,0.7733699862910726,Buenos Aires
JMA,-40.75,-62.75,1998,10,1998,11,17.728662109375023,0.8655183603423211,Buenos Aires
JMA,-40.75,-62.75,1998,11,1998,11,17.422998046875023,0.4122585281152169,Buenos Aires
JMA,-40.75,-62.75,1999,4,1999,4,15.093499755859398,2.483020775230216,Buenos Aires
JMA,-40.75,-62.75,1999,4,1999,5,12.160882568359398,1.263994318492223,Buenos Aires
JMA,-40.75,-62.75,1999,4,1999,6,9.817712402343773,1.1779959612567836,Buenos Aires
JMA,-40.75,-62.75,1999,4,1999,7,9.233239746093773,0.7586097356693244,Buenos Aires
JMA,-40.75,-62.75,1999,4,1999,8,10.111413574218773,0.8232729237533931,Buenos Aires
JMA,-40.75,-62.75,1999,4,1999,9,11.277185058593773,0.7764234810281323,Buenos Aires
JMA,-40.75,-62.75,1999,5,1999,5,12.470117187500023,1.3898787989319317,Buenos Aires
JMA,-40.75,-62.75,1999,5,1999,6,9.593225097656273,1.0668142503789113,Buenos Aires
JMA,-40.75,-62.75,1999,5,1999,7,9.455957031250023,0.7915353556597893,Buenos Aires
JMA,-40.75,-62.75,1999,5,1999,8,9.667474365234398,0.43843020989697834,Buenos Aires
JMA,-40.75,-62.75,1999,5,1999,9,11.331292724609398,1.0411993590508928,Buenos Aires
JMA,-40.75,-62.75,1999,5,1999,10,13.980218505859398,0.9251980928581816,Buenos Aires
JMA,-40.75,-62.75,1999,6,1999,6,9.940179443359398,1.06635193859006,Buenos Aires
JMA,-40.75,-62.75,1999,6,1999,7,8.706018066406273,0.849535237676946,Buenos Aires
JMA,-40.75,-62.75,1999,6,1999,8,9.971185302734398,1.6976581702010662,Buenos Aires
JMA,-40.75,-62.75,1999,6,1999,9,11.210778808593773,1.1700966877015162,Buenos Aires
JMA,-40.75,-62.75,1999,6,1999,10,13.904107666015648,1.0750780016621775,Buenos Aires
JMA,-40.75,-62.75,1999,6,1999,11,16.505029296875023,1.6922623558457417,Buenos Aires
JMA,-40.75,-62.75,1999,7,1999,7,8.784967041015648,0.6472855710626391,Buenos Aires
JMA,-40.75,-62.75,1999,7,1999,8,9.613610839843773,0.8062908753458942,Buenos Aires
JMA,-40.75,-62.75,1999,7,1999,9,11.771386718750023,0.4301631550163165,Buenos Aires
JMA,-40.75,-62.75,1999,7,1999,10,13.860894775390648,0.5735517098059972,Buenos Aires
JMA,-40.75,-62.75,1999,7,1999,11,16.355462646484398,1.1623017724282647,Buenos Aires
JMA,-40.75,-62.75,1999,8,1999,8,9.861230468750023,0.9173806725470968,Buenos Aires
JMA,-40.75,-62.75,1999,8,1999,9,10.950524902343773,0.980304852333802,Buenos Aires
JMA,-40.75,-62.75,1999,8,1999,10,13.517388916015648,1.9412030613352727,Buenos Aires
JMA,-40.75,-62.75,1999,8,1999,11,15.925744628906273,0.9802076436926654,Buenos Aires
JMA,-40.75,-62.75,1999,9,1999,9,11.495751953125023,1.971086850858228,Buenos Aires
JMA,-40.75,-62.75,1999,9,1999,10,13.796289062500023,0.31307050935680536,Buenos Aires
JMA,-40.75,-62.75,1999,9,1999,11,16.464929199218773,1.3153443927649278,Buenos Aires
JMA,-40.75,-62.75,1999,10,1999,10,14.253961181640648,0.704229487524799,Buenos Aires
JMA,-40.75,-62.75,1999,10,1999,11,16.831445312500023,0.8783974136861161,Buenos Aires
JMA,-40.75,-62.75,1999,11,1999,11,17.223535156250023,1.4947843155255214,Buenos Aires
JMA,-40.75,-62.75,2000,4,2000,4,15.748864746093773,0.658164865967592,Buenos Aires
JMA,-40.75,-62.75,2000,4,2000,5,11.763635253906273,1.241801568454548,Buenos Aires
JMA,-40.75,-62.75,2000,4,2000,6,9.364953613281273,0.9066119886824708,Buenos Aires
JMA,-40.75,-62.75,2000,4,2000,7,8.491906738281273,0.5482031340875437,Buenos Aires
JMA,-40.75,-62.75,2000,4,2000,8,10.106103515625023,0.36547102112649554,Buenos Aires
JMA,-40.75,-62.75,2000,4,2000,9,11.526025390625023,0.9569009635868042,Buenos Aires
JMA,-40.75,-62.75,2000,5,2000,5,12.442132568359398,1.2422553737678754,Buenos Aires
