model,init_year,init_month,forecasted_year,forecasted_month,lat,lon,prec,t2m
PNU,2000,8,2000,9,-40.0,-62.5,1.44,8.54
PNU,2000,8,2000,10,-40.0,-62.5,1.33,10.33
PNU,2000,8,2000,11,-40.0,-62.5,1.09,13.66
PNU,2000,9,2000,9,-40.0,-62.5,1.24,8.84
PNU,2000,9,2000,10,-40.0,-62.5,1.14,10.89
PNU,2000,9,2000,11,-40.0,-62.5,1.13,13.93
PNU,2000,10,2000,10,-40.0,-62.5,1.16,11.26
PNU,2000,10,2000,11,-40.0,-62.5,1.1,14.42
PNU,2000,11,2000,11,-40.0,-62.5,1.05,14.52
PNU,2001,4,2001,4,-40.0,-62.5,1.01,15.72
PNU,2001,4,2001,5,-40.0,-62.5,1.55,11.9
PNU,2001,4,2001,6,-40.0,-62.5,1.82,9.45
PNU,2001,4,2001,7,-40.0,-62.5,1.56,7.97
PNU,2001,4,2001,8,-40.0,-62.5,1.58,7.5
PNU,2001,4,2001,9,-40.0,-62.5,1.33,8.29
PNU,2001,5,2001,5,-40.0,-62.5,1.31,11.39
PNU,2001,5,2001,6,-40.0,-62.5,1.61,9.13
PNU,2001,5,2001,7,-40.0,-62.5,1.76,7.78
PNU,2001,5,2001,8,-40.0,-62.5,1.5,7.42
PNU,2001,5,2001,9,-40.0,-62.5,1.37,8.17
PNU,2001,5,2001,10,-40.0,-62.5,1.19,10.2
PNU,2001,6,2001,6,-40.0,-62.5,1.76,8.8
PNU,2001,6,2001,7,-40.0,-62.5,1.66,7.68
PNU,2001,6,2001,8,-40.0,-62.5,1.86,7.48
PNU,2001,6,2001,9,-40.0,-62.5,1.57,8.17
PNU,2001,6,2001,10,-40.0,-62.5,1.03,10.26
PNU,2001,6,2001,11,-40.0,-62.5,0.98,13.42
PNU,2001,7,2001,7,-40.0,-62.5,1.5,7.36
PNU,2001,7,2001,8,-40.0,-62.5,1.58,7.43
PNU,2001,7,2001,9,-40.0,-62.5,1.72,8.04
PNU,2001,7,2001,10,-40.0,-62.5,1.33,9.97
PNU,2001,7,2001,11,-40.0,-62.5,1.05,13.36
PNU,2001,8,2001,8,-40.0,-62.5,1.52,7.4
PNU,2001,8,2001,9,-40.0,-62.5,1.43,8.47
PNU,2001,8,2001,10,-40.0,-62.5,1.53,10.34
PNU,2001,8,2001,11,-40.0,-62.5,1.04,13.4
PNU,2001,9,2001,9,-40.0,-62.5,1.43,8.71
PNU,2001,9,2001,10,-40.0,-62.5,1.35,10.71
PNU,2001,9,2001,11,-40.0,-62.5,0.99,14.05
PNU,2001,10,2001,10,-40.0,-62.5,1.29,10.92
PNU,2001,10,2001,11,-40.0,-62.5,1.17,14.1
PNU,2001,11,2001,11,-40.0,-62.5,1.19,14.39
