model,init_year,init_month,forecasted_year,forecasted_month,lat,lon,prec,t2m
BOM,1997,5,1997,7,-40.0,-62.5,1.34,8.54
BOM,1997,5,1997,8,-40.0,-62.5,1.48,9.13
BOM,1997,5,1997,9,-40.0,-62.5,1.61,10.86
BOM,1997,5,1997,10,-40.0,-62.5,2.13,13.2
BOM,1997,6,1997,6,-40.0,-62.5,1.51,9.35
BOM,1997,6,1997,7,-40.0,-62.5,1.31,8.56
BOM,1997,6,1997,8,-40.0,-62.5,1.15,9.42
BOM,1997,6,1997,9,-40.0,-62.5,1.85,10.78
BOM,1997,6,1997,10,-40.0,-62.5,2.32,12.79
BOM,1997,6,1997,11,-40.0,-62.5,2.2,16.33
BOM,1997,7,1997,7,-40.0,-62.5,1.16,8.59
BOM,1997,7,1997,8,-40.0,-62.5,1.3,9.34
BOM,1997,7,1997,9,-40.0,-62.5,1.92,11.0
BOM,1997,7,1997,10,-40.0,-62.5,2.05,13.44
BOM,1997,7,1997,11,-40.0,-62.5,2.41,16.38
BOM,1997,8,1997,8,-40.0,-62.5,1.34,9.47
BOM,1997,8,1997,9,-40.0,-62.5,1.77,11.37
BOM,1997,8,1997,10,-40.0,-62.5,2.04,13.37
BOM,1997,8,1997,11,-40.0,-62.5,2.09,16.72
BOM,1997,9,1997,9,-40.0,-62.5,1.9,11.29
BOM,1997,9,1997,10,-40.0,-62.5,2.6,12.82
BOM,1997,9,1997,11,-40.0,-62.5,2.3,16.69
BOM,1997,10,1997,10,-40.0,-62.5,2.43,13.46
BOM,1997,10,1997,11,-40.0,-62.5,2.53,16.83
BOM,1997,11,1997,11,-40.0,-62.5,2.14,17.45
BOM,1998,4,1998,4,-40.0,-62.5,2.04,15.32
BOM,1998,4,1998,5,-40.0,-62.5,1.17,11.78
BOM,1998,4,1998,6,-40.0,-62.5,0.8,8.76
BOM,1998,4,1998,7,-40.0,-62.5,0.84,8.05
BOM,1998,4,1998,8,-40.0,-62.5,0.83,8.62
BOM,1998,4,1998,9,-40.0,-62.5,1.44,11.1
BOM,1998,5,1998,5,-40.0,-62.5,0.94,11.34
BOM,1998,5,1998,6,-40.0,-62.5,0.72,8.5
BOM,1998,5,1998,7,-40.0,-62.5,0.63,8.2
BOM,1998,5,1998,8,-40.0,-62.5,1.16,9.08
BOM,1998,5,1998,9,-40.0,-62.5,1.56,11.36
BOM,1998,5,1998,10,-40.0,-62.5,1.75,14.09
BOM,1998,6,1998,6,-40.0,-62.5,0.83,9.43
BOM,1998,6,1998,7,-40.0,-62.5,0.81,8.71
BOM,1998,6,1998,8,-40.0,-62.5,0.92,9.5
BOM,1998,6,1998,9,-40.0,-62.5,1.25,11.03
BOM,1998,6,1998,10,-40.0,-62.5,1.91,14.18
BOM,1998,6,1998,11,-40.0,-62.5,1.88,17.31
BOM,1998,7,1998,7,-40.0,-62.5,0.68,8.52
BOM,1998,7,1998,8,-40.0,-62.5,0.88,9.45
BOM,1998,7,1998,9,-40.0,-62.5,1.71,11.6
BOM,1998,7,1998,10,-40.0,-62.5,1.53,14.24
BOM,1998,7,1998,11,-40.0,-62.5,1.56,17.27
BOM,1998,8,1998,8,-40.0,-62.5,0.87,9.74
BOM,1998,8,1998,9,-40.0,-62.5,1.06,11.69
BOM,1998,8,1998,10,-40.0,-62.5,1.45,14.38
BOM,1998,8,1998,11,-40.0,-62.5,1.61,17.58
BOM,1998,9,1998,9,-40.0,-62.5,1.3,12.04
BOM,1998,9,1998,10,-40.0,-62.5,1.72,14.45
BOM,1998,9,1998,11,-40.0,-62.5,1.6,17.9
BOM,1998,10,1998,10,-40.0,-62.5,1.4,14.64
BOM,1998,10,1998,11,-40.0,-62.5,1.78,17.63
BOM,1998,11,1998,11,-40.0,-62.5,1.53,18.15
BOM,1999,4,1999,4,-40.0,-62.5,1.52,15.38
BOM,1999,4,1999,5,-40.0,-62.5,0.85,11.89
BOM,1999,4,1999,6,-40.0,-62.5,0.88,9.41
BOM,1999,4,1999,7,-40.0,-62.5,1.2,8.2
BOM,1999,4,1999,8,-40.0,-62.5,1.13,8.66
BOM,1999,4,1999,9,-40.0,-62.5,1.56,10.98
BOM,1999,5,1999,5,-40.0,-62.5,0.78,11.71
BOM,1999,5,1999,6,-40.0,-62.5,0.83,8.99
BOM,1999,5,1999,7,-40.0,-62.5,0.98,8.29
BOM,1999,5,1999,8,-40.0,-62.5,1.07,8.96
BOM,1999,5,1999,9,-40.0,-62.5,1.0,11.19
BOM,1999,5,1999,10,-40.0,-62.5,1.78,14.01
BOM,1999,6,1999,6,-40.0,-62.5,0.78,9.35
BOM,1999,6,1999,7,-40.0,-62.5,0.88,8.33
BOM,1999,6,1999,8,-40.0,-62.5,0.93,8.95
BOM,1999,6,1999,9,-40.0,-62.5,1.23,10.96
BOM,1999,6,1999,10,-40.0,-62.5,1.83,13.95
BOM,1999,6,1999,11,-40.0,-62.5,1.84,17.22
BOM,1999,7,1999,7,-40.0,-62.5,0.81,8.13
BOM,1999,7,1999,8,-40.0,-62.5,1.01,9.21
BOM,1999,7,1999,9,-40.0,-62.5,1.45,11.1
BOM,1999,7,1999,10,-40.0,-62.5,1.63,13.82
BOM,1999,7,1999,11,-40.0,-62.5,1.75,17.45
BOM,1999,8,1999,8,-40.0,-62.5,0.91,9.28
BOM,1999,8,1999,9,-40.0,-62.5,1.16,11.18
BOM,1999,8,1999,10,-40.0,-62.5,1.45,14.07
BOM,1999,8,1999,11,-40.0,-62.5,1.94,17.5
BOM,1999,9,1999,9,-40.0,-62.5,1.0,11.42
BOM,1999,9,1999,10,-40.0,-62.5,1.45,13.69
BOM,1999,9,1999,11,-40.0,-62.5,1.4,17.5
BOM,1999,10,1999,10,-40.0,-62.5,1.61,13.58
BOM,1999,10,1999,11,-40.0,-62.5,1.79,17.3
BOM,1999,11,1999,11,-40.0,-62.5,1.52,18.07
BOM,2000,4,2000,4,-40.0,-62.5,1.22,15.27
BOM,2000,4,2000,5,-40.0,-62.5,0.99,11.53
BOM,2000,4,2000,6,-40.0,-62.5,1.06,9.15
BOM,2000,4,2000,7,-40.0,-62.5,0.87,8.05
BOM,2000,4,2000,8,-40.0,-62.5,1.04,8.86
BOM,2000,4,2000,9,-40.0,-62.5,1.44,10.9
BOM,2000,5,2000,5,-40.0,-62.5,1.17,11.23
BOM,2000,5,2000,6,-40.0,-62.5,0.87,8.67
BOM,2000,5,2000,7,-40.0,-62.5,1.09,7.86
BOM,2000,5,2000,8,-40.0,-62.5,1.31,8.5
BOM,2000,5,2000,9,-40.0,-62.5,1.48,10.92
BOM,2000,5,2000,10,-40.0,-62.5,2.1,14.04
BOM,2000,6,2000,6,-40.0,-62.5,0.87,8.74
BOM,2000,6,2000,7,-40.0,-62.5,1.11,8.25
BOM,2000,6,2000,8,-40.0,-62.5,1.01,9.2
BOM,2000,6,2000,9,-40.0,-62.5,1.4,11.06
BOM,2000,6,2000,10,-40.0,-62.5,1.96,14.14
BOM,2000,6,2000,11,-40.0,-62.5,1.42,17.62
BOM,2000,7,2000,7,-40.0,-62.5,0.78,8.15
BOM,2000,7,2000,8,-40.0,-62.5,1.16,9.29
BOM,2000,7,2000,9,-40.0,-62.5,1.57,10.92
BOM,2000,7,2000,10,-40.0,-62.5,1.86,13.74
BOM,2000,7,2000,11,-40.0,-62.5,1.66,17.55
BOM,2000,8,2000,8,-40.0,-62.5,1.32,9.28
BOM,2000,8,2000,9,-40.0,-62.5,1.41,11.39
BOM,2000,8,2000,10,-40.0,-62.5,1.45,13.95
BOM,2000,8,2000,11,-40.0,-62.5,2.02,17.27
BOM,2000,9,2000,9,-40.0,-62.5,1.15,11.06
BOM,2000,9,2000,10,-40.0,-62.5,1.92,14.14
BOM,2000,9,2000,11,-40.0,-62.5,1.49,17.59
BOM,2000,10,2000,10,-40.0,-62.5,1.7,14.33
BOM,2000,10,2000,11,-40.0,-62.5,1.42,17.44
BOM,2000,11,2000,11,-40.0,-62.5,1.35,17.93
BOM,2001,4,2001,4,-40.0,-62.5,1.62,15.44
BOM,2001,4,2001,5,-40.0,-62.5,1.11,11.93
BOM,2001,4,2001,6,-40.0,-62.5,0.93,8.79
BOM,2001,4,2001,7,-40.0,-62.5,1.07,7.96
BOM,2001,4,2001,8,-40.0,-62.5,1.29,8.74
BOM,2001,4,2001,9,-40.0,-62.5,1.6,10.96
BOM,2001,5,2001,5,-40.0,-62.5,0.95,12.0
BOM,2001,5,2001,6,-40.0,-62.5,0.83,9.21
BOM,2001,5,2001,7,-40.0,-62.5,0.74,7.87
BOM,2001,5,2001,8,-40.0,-62.5,1.04,8.62
BOM,2001,5,2001,9,-40.0,-62.5,1.26,10.96
BOM,2001,5,2001,10,-40.0,-62.5,1.85,13.53
BOM,2001,6,2001,6,-40.0,-62.5,1.19,8.78
BOM,2001,6,2001,7,-40.0,-62.5,0.99,8.07
BOM,2001,6,2001,8,-40.0,-62.5,0.94,9.26
BOM,2001,6,2001,9,-40.0,-62.5,1.38,11.13
BOM,2001,6,2001,10,-40.0,-62.5,1.66,13.75
BOM,2001,6,2001,11,-40.0,-62.5,1.99,17.0
BOM,2001,7,2001,7,-40.0,-62.5,0.8,8.06
BOM,2001,7,2001,8,-40.0,-62.5,1.04,9.12
BOM,2001,7,2001,9,-40.0,-62.5,1.44,11.16
BOM,2001,7,2001,10,-40.0,-62.5,1.8,14.03
BOM,2001,7,2001,11,-40.0,-62.5,1.8,17.29
BOM,2001,8,2001,8,-40.0,-62.5,1.02,9.3
BOM,2001,8,2001,9,-40.0,-62.5,1.47,11.21
BOM,2001,8,2001,10,-40.0,-62.5,1.79,13.8
BOM,2001,8,2001,11,-40.0,-62.5,1.41,17.45
BOM,2001,9,2001,9,-40.0,-62.5,1.44,11.09
BOM,2001,9,2001,10,-40.0,-62.5,1.39,14.02
BOM,2001,9,2001,11,-40.0,-62.5,1.54,17.08
BOM,2001,10,2001,10,-40.0,-62.5,1.72,14.36
BOM,2001,10,2001,11,-40.0,-62.5,1.37,17.86
BOM,2001,11,2001,11,-40.0,-62.5,1.36,18.54
BOM,2002,4,2002,4,-40.0,-62.5,1.79,15.27
BOM,2002,4,2002,5,-40.0,-62.5,1.06,11.68
BOM,2002,4,2002,6,-40.0,-62.5,1.04,8.4
BOM,2002,4,2002,7,-40.0,-62.5,1.07,8.21
BOM,2002,4,2002,8,-40.0,-62.5,1.47,9.06
BOM,2002,4,2002,9,-40.0,-62.5,1.27,10.65
BOM,2002,5,2002,5,-40.0,-62.5,1.19,11.51
BOM,2002,5,2002,6,-40.0,-62.5,1.04,8.98
BOM,2002,5,2002,7,-40.0,-62.5,1.03,7.96
BOM,2002,5,2002,8,-40.0,-62.5,1.27,8.86
BOM,2002,5,2002,9,-40.0,-62.5,1.26,11.0
BOM,2002,5,2002,10,-40.0,-62.5,1.96,13.48
BOM,2002,6,2002,6,-40.0,-62.5,1.15,8.72
BOM,2002,6,2002,7,-40.0,-62.5,0.93,8.2
BOM,2002,6,2002,8,-40.0,-62.5,1.16,9.02
BOM,2002,6,2002,9,-40.0,-62.5,1.85,10.96
BOM,2002,6,2002,10,-40.0,-62.5,1.75,13.61
BOM,2002,6,2002,11,-40.0,-62.5,1.82,16.75
BOM,2002,7,2002,7,-40.0,-62.5,0.9,8.14
BOM,2002,7,2002,8,-40.0,-62.5,1.1,9.68
BOM,2002,7,2002,9,-40.0,-62.5,1.88,11.0
BOM,2002,7,2002,10,-40.0,-62.5,1.99,13.71
BOM,2002,7,2002,11,-40.0,-62.5,2.13,16.68
BOM,2002,8,2002,8,-40.0,-62.5,1.26,9.13
BOM,2002,8,2002,9,-40.0,-62.5,1.41,11.21
BOM,2002,8,2002,10,-40.0,-62.5,1.72,13.95
BOM,2002,8,2002,11,-40.0,-62.5,1.73,17.53
BOM,2002,9,2002,9,-40.0,-62.5,1.13,11.78
BOM,2002,9,2002,10,-40.0,-62.5,1.95,14.22
BOM,2002,9,2002,11,-40.0,-62.5,1.71,17.46
BOM,2002,10,2002,10,-40.0,-62.5,1.87,14.42
BOM,2002,10,2002,11,-40.0,-62.5,1.41,17.53
BOM,2002,11,2002,11,-40.0,-62.5,1.58,18.12
BOM,2003,4,2003,4,-40.0,-62.5,1.23,15.36
BOM,2003,4,2003,5,-40.0,-62.5,0.95,11.81
BOM,2003,4,2003,6,-40.0,-62.5,0.86,8.94
BOM,2003,4,2003,7,-40.0,-62.5,0.9,8.03
