model,init_year,init_month,forecasted_year,forecasted_month,lat,lon,prec,t2m
KMA,1998,4,1998,8,-40.0,-62.5,0.96,9.55
KMA,1998,4,1998,9,-40.0,-62.5,1.91,11.04
KMA,1998,5,1998,5,-40.0,-62.5,1.1,11.94
KMA,1998,5,1998,6,-40.0,-62.5,0.73,8.81
KMA,1998,5,1998,7,-40.0,-62.5,0.89,7.97
KMA,1998,5,1998,8,-40.0,-62.5,0.88,9.61
KMA,1998,5,1998,9,-40.0,-62.5,0.89,11.62
KMA,1998,5,1998,10,-40.0,-62.5,1.4,14.8
KMA,1998,6,1998,6,-40.0,-62.5,0.8,9.61
KMA,1998,6,1998,7,-40.0,-62.5,1.02,9.0
KMA,1998,6,1998,8,-40.0,-62.5,0.67,9.81
KMA,1998,6,1998,9,-40.0,-62.5,1.16,11.59
KMA,1998,6,1998,10,-40.0,-62.5,2.24,14.66
KMA,1998,6,1998,11,-40.0,-62.5,1.25,17.7
KMA,1998,7,1998,7,-40.0,-62.5,1.04,8.98
KMA,1998,7,1998,8,-40.0,-62.5,1.02,9.51
KMA,1998,7,1998,9,-40.0,-62.5,1.6,11.8
KMA,1998,7,1998,10,-40.0,-62.5,1.91,14.25
KMA,1998,7,1998,11,-40.0,-62.5,1.63,17.76
KMA,1998,8,1998,8,-40.0,-62.5,1.01,10.24
KMA,1998,8,1998,9,-40.0,-62.5,0.96,11.94
KMA,1998,8,1998,10,-40.0,-62.5,1.63,14.91
KMA,1998,8,1998,11,-40.0,-62.5,1.8,17.82
KMA,1998,9,1998,9,-40.0,-62.5,1.43,11.66
KMA,1998,9,1998,10,-40.0,-62.5,1.43,14.78
KMA,1998,9,1998,11,-40.0,-62.5,1.59,18.08
KMA,1998,10,1998,10,-40.0,-62.5,1.48,14.63
KMA,1998,10,1998,11,-40.0,-62.5,1.22,17.92
KMA,1998,11,1998,11,-40.0,-62.5,1.17,18.12
KMA,1999,4,1999,4,-40.0,-62.5,1.07,15.48
KMA,1999,4,1999,5,-40.0,-62.5,1.45,11.59
KMA,1999,4,1999,6,-40.0,-62.5,0.78,9.25
KMA,1999,4,1999,7,-40.0,-62.5,1.58,8.33
KMA,1999,4,1999,8,-40.0,-62.5,0.71,9.28
KMA,1999,4,1999,9,-40.0,-62.5,1.66,11.21
KMA,1999,5,1999,5,-40.0,-62.5,0.81,11.58
KMA,1999,5,1999,6,-40.0,-62.5,0.68,9.23
KMA,1999,5,1999,7,-40.0,-62.5,0.55,8.18
KMA,1999,5,1999,8,-40.0,-62.5,0.92,9.02
KMA,1999,5,1999,9,-40.0,-62.5,1.83,10.99
KMA,1999,5,1999,10,-40.0,-62.5,1.36,14.53
KMA,1999,6,1999,6,-40.0,-62.5,1.06,9.16
KMA,1999,6,1999,7,-40.0,-62.5,0.96,8.65
KMA,1999,6,1999,8,-40.0,-62.5,1.1,9.35
KMA,1999,6,1999,9,-40.0,-62.5,2.43,10.77
KMA,1999,6,1999,10,-40.0,-62.5,1.65,13.83
KMA,1999,6,1999,11,-40.0,-62.5,1.8,17.91
KMA,1999,7,1999,7,-40.0,-62.5,0.79,8.61
KMA,1999,7,1999,8,-40.0,-62.5,1.05,9.43
KMA,1999,7,1999,9,-40.0,-62.5,1.5,11.43
KMA,1999,7,1999,10,-40.0,-62.5,2.12,14.05
KMA,1999,7,1999,11,-40.0,-62.5,1.86,18.02
KMA,1999,8,1999,8,-40.0,-62.5,0.63,8.84
KMA,1999,8,1999,9,-40.0,-62.5,1.22,11.38
KMA,1999,8,1999,10,-40.0,-62.5,1.78,13.81
KMA,1999,8,1999,11,-40.0,-62.5,1.57,17.12
KMA,1999,9,1999,9,-40.0,-62.5,0.94,11.07
KMA,1999,9,1999,10,-40.0,-62.5,1.82,13.97
KMA,1999,9,1999,11,-40.0,-62.5,1.84,17.72
KMA,1999,10,1999,10,-40.0,-62.5,1.34,13.91
KMA,1999,10,1999,11,-40.0,-62.5,1.15,17.71
KMA,1999,11,1999,11,-40.0,-62.5,1.48,17.88
KMA,2000,4,2000,4,-40.0,-62.5,1.86,15.15
KMA,2000,4,2000,5,-40.0,-62.5,1.22,11.53
KMA,2000,4,2000,6,-40.0,-62.5,1.26,9.0
KMA,2000,4,2000,7,-40.0,-62.5,0.79,8.1
KMA,2000,4,2000,8,-40.0,-62.5,1.33,9.24
KMA,2000,4,2000,9,-40.0,-62.5,1.55,11.22
KMA,2000,5,2000,5,-40.0,-62.5,0.98,11.24
KMA,2000,5,2000,6,-40.0,-62.5,1.02,9.0
KMA,2000,5,2000,7,-40.0,-62.5,0.63,8.23
KMA,2000,5,2000,8,-40.0,-62.5,1.22,9.29
KMA,2000,5,2000,9,-40.0,-62.5,1.72,11.1
KMA,2000,5,2000,10,-40.0,-62.5,1.94,13.99
KMA,2000,6,2000,6,-40.0,-62.5,0.87,8.79
KMA,2000,6,2000,7,-40.0,-62.5,0.96,8.15
KMA,2000,6,2000,8,-40.0,-62.5,0.97,9.61
KMA,2000,6,2000,9,-40.0,-62.5,1.63,11.06
KMA,2000,6,2000,10,-40.0,-62.5,2.05,14.64
KMA,2000,6,2000,11,-40.0,-62.5,1.85,17.67
KMA,2000,7,2000,7,-40.0,-62.5,0.83,8.39
KMA,2000,7,2000,8,-40.0,-62.5,0.94,9.16
KMA,2000,7,2000,9,-40.0,-62.5,1.4,11.24
KMA,2000,7,2000,10,-40.0,-62.5,1.53,14.69
KMA,2000,7,2000,11,-40.0,-62.5,2.15,18.02
KMA,2000,8,2000,8,-40.0,-62.5,0.85,9.29
KMA,2000,8,2000,9,-40.0,-62.5,1.33,11.67
KMA,2000,8,2000,10,-40.0,-62.5,1.85,14.11
KMA,2000,8,2000,11,-40.0,-62.5,1.5,17.95
KMA,2000,9,2000,9,-40.0,-62.5,1.62,11.39
KMA,2000,9,2000,10,-40.0,-62.5,2.02,14.31
KMA,2000,9,2000,11,-40.0,-62.5,2.53,18.11
KMA,2000,10,2000,10,-40.0,-62.5,2.07,14.52
KMA,2000,10,2000,11,-40.0,-62.5,1.59,17.49
KMA,2000,11,2000,11,-40.0,-62.5,1.61,17.11
KMA,2001,4,2001,4,-40.0,-62.5,1.59,15.2
KMA,2001,4,2001,5,-40.0,-62.5,0.76,11.87
KMA,2001,4,2001,6,-40.0,-62.5,1.32,9.59
KMA,2001,4,2001,7,-40.0,-62.5,0.74,8.14
KMA,2001,4,2001,8,-40.0,-62.5,0.7,9.3
KMA,2001,4,2001,9,-40.0,-62.5,1.19,10.95
KMA,2001,5,2001,5,-40.0,-62.5,1.05,11.57
KMA,2001,5,2001,6,-40.0,-62.5,1.22,9.17
KMA,2001,5,2001,7,-40.0,-62.5,0.89,8.52
KMA,2001,5,2001,8,-40.0,-62.5,1.18,9.9
KMA,2001,5,2001,9,-40.0,-62.5,1.86,11.37
KMA,2001,5,2001,10,-40.0,-62.5,2.43,14.14
KMA,2001,6,2001,6,-40.0,-62.5,0.71,8.88
KMA,2001,6,2001,7,-40.0,-62.5,0.85,8.16
KMA,2001,6,2001,8,-40.0,-62.5,1.27,9.44
KMA,2001,6,2001,9,-40.0,-62.5,1.58,11.16
KMA,2001,6,2001,10,-40.0,-62.5,2.28,14.25
KMA,2001,6,2001,11,-40.0,-62.5,2.11,16.98
KMA,2001,7,2001,7,-40.0,-62.5,1.09,7.79
KMA,2001,7,2001,8,-40.0,-62.5,1.04,9.42
KMA,2001,7,2001,9,-40.0,-62.5,1.71,11.35
KMA,2001,7,2001,10,-40.0,-62.5,1.66,14.06
